Script,Translation
東日本、東海、西日本のJR各社は、寝台特急「あさかぜ」を２００５年３月１日のダイヤ改正で廃止することにした。「あさかぜ」は１９５６年に登場、５８年に新型の各社が導入され、日本で初めて全室冷暖房完備の個室新台を連結し、食堂車も備えて「走るホテル」と言われたが、最近は新幹線や飛行機に押されて乗車率は減少し、ここ数年は約３０％にさがっていた。また、上り列車が首都圏に乗り入れるのが朝のラッシュ時に重なり、遅れた場合は通勤電車の過密ダイヤに影響するため、改正が考えられていた。,"East Japan, Tokai, and West Japan JR companies have decided to discontinue the new platform express ""Asakaze"" with the March 1, 2005 timetable revision. The ""Asakaze"" was introduced in 1956, and in 1958, a new model of each company was introduced, and for the first time in Japan, a new private car with air-conditioning and heating in all rooms was connected to the train, which was also equipped with a dining car and was called a ""running hotel. Recently, ridership has been declining due to the Shinkansen and airplanes, and has dropped to about 30% in the past few years. In addition, the up trains enter the Tokyo metropolitan area during the morning rush hour, and any delays would affect the overcrowded commuter train schedule, so a revision was contemplated."
"｢ハクトウワシ｣米国ワイオミング州, グランドティトン国立公園 北米大陸に広く分布するハクトウワシはアメリカ合衆国の国鳥。米国の国章やさまざまな機関の記章にあしらわれているほか、ロサンゼルスオリンピックではイーグルサムというマスコットキャラクターにもなりました. ハクトウワシは翼をひろげると2メートルを上回る大型の鳥。普段は水辺に生息し、かぎ爪を使って魚を捕らえます。森林伐採や乱獲などによって1967年に絶滅危機に分類されましたが、その後、その数を回復し、現在では絶滅危惧リストからははずされています。","Bald Eagle, Grand Teton National Park, Wyoming, USA Widely distributed across the North American continent, the bald eagle is the national bird of the United States. It is featured on the U.S. national emblem and on the insignia of various organizations, and was the mascot of the Los Angeles Olympics as Eagle Sam. The bald eagle is a large bird with a wingspan of over two meters. It usually lives near water and uses its talons to catch fish. It was classified as endangered in 1967 due to deforestation and overfishing, but it has since recovered and is now off the endangered list.
"
訪日外国人に「日本で一番お気に入りの場所はどこか」質問すると多くの人が「居酒屋」と答えます。私たち日本人も居酒屋はよく利用します。居酒屋では飲み放題プランや宴会プランなどがあるので、大勢での食事会などで利用することが多いです。 居酒屋の特徴は、メニューの種類がとても豊富です。おにぎり、お寿司、刺身、うどん、焼き鳥など、代表的な日本食が揃っています。また、お酒やデザートの種類も豊富に揃っています。メニューも写真付きやタブレットで品を見ながら選ぶ事ができ、外国人も注文しやすくなっています。 また、居酒屋は普通のレストランよりも値段が安く、内装も和風なので日本の雰囲気も楽しめ、手軽にリアルな日本料理を楽しむことが出来ます。,"If you ask foreigners visiting Japan ""Where is your favorite place in Japan?"", many of them will answer 'izakaya'. We Japanese also often visit izakaya. Izakaya offer all-you-can-drink plans and banquet plans, so they'are often used for dinner parties with many people. Izakaya are characterized by a wide variety of menu items. Typical Japanese dishes such as onigiri (rice balls), sushi, sashimi, udon, and yakitori are available. There is also a wide variety of drinks and desserts on offer. You can choose from a menu with pictures or view the items on a tablet, making it easy for foreigners to order. Izakaya are cheaper than restaurants, and the decor is Japanese, so you can enjoy a Japanese atmosphere and real Japanese food easily."
日本の観光名所の一つである奈良公園。毎日たくさんの観光客が訪れます。奈良公園には公園に住んでいる自然の鹿がたくさんいます。観光客は鹿たちに鹿用のせんべいをあげることが出来ます。鹿も観光客からせんべいをもらえる事を知っているので、たくさんの鹿が観光客に寄ってきます。 ですが、ここ数ヶ月はコロナウイルスの影響で、観光客が激減してしまいました。鹿せんべいを食べる事が減った鹿たちですが、これは鹿にとって良い事だったようです。実は奈良公園の鹿たちは鹿せんべいの食べ過ぎでお腹を壊し気味だったようでした。少し柔らかいふんをしていたのです。食べ過ぎがなくなった現在は健康的な丸くて黒いふんが出るようになり、お腹の調子がよくなったようです。,"Nara Park is one of the most popular tourist attractions in Japan. It is visited by many tourists every day. In Nara Park, there are many natural deer that live in the park. Tourists can give crackers to the deer. The deer know that they can get crackers from tourists, so many of them come close to the tourists. However, the number of tourists has decreased drastically in recent months due to the coronavirus. The deer have been eating fewer rice crackers, but this seems to have been a good thing for them. In fact, the deer in Nara Park seemed to have an upset stomach due to eating too many rice crackers. They were a little soft and lumpy. Now that they have stopped overeating, they produce healthy round and black feces, and their stomachs seem to have improved."
長野県の北部に上信越高原国立公園の地獄谷があります。標高８５０メートルのところに雪と雪に覆われた崖と渓谷の高原にあります。この場所は、1年のほぼ３分の１が雪に覆われています。そこにはたくさんの天然温泉があります。 この天然温泉を発見したのは人間だけはありません。１９６０年代の初めにニホンザルは渓谷の上にある高い森から降りてきました。そして体を温めるために温泉を利用し始めました。 現在もニホンザルたちが体を温めるために、温泉に入りにやってきます。今では世界中の人々に愛され、多くの研究家や写真家なども温泉に入る猿を観察しに地獄谷を訪れます。,"In the northern part of Nagano Prefecture, there is Jigokudani in Joshinetsu Kogen National Park. It is located at an altitude of 850 meters on a plateau of snow and snow covered cliffs and valleys. This place is covered with snow for almost a third of the year. There are many natural hot springs there. Humans are not the only ones who have discovered these natural hot springs. In the early 1960s, Japanese monkeys came down from the high forests above the canyon and started using the hot springs to warm themselves. Even today, Japanese monkeys still come to take a bath in the hot spring to warm up their bodies. Many researchers and photographers visit Jigokudani to observe the monkeys bathing in the hot springs."
冬の寒い日は、鍋料理を食べて体を温めたくなります。鍋料理の一つであるちゃんこ鍋は、お相撲さんが毎日食べる料理として知られています。 お相撲さんはこのちゃんこ鍋を食べて、大きな体を作ります。お相撲さんはいっぱい食べることも修行の一つです。大きな体を作ることはお相撲さんにとってとても大切です。お相撲さんはちゃんこ鍋を丼で１０杯くらい食べます。 「ちゃん」と言うのは「お父さん」と言う意味で、「こ」は子供の意味です。子供と一緒に食べる鍋で、鍋の中にはいろんな野菜や魚、肉などが入っています。味の種類もたくさんあり、飽きる事がありません。,"On cold winter days, we like to eat hot pot dishes to warm ourselves up. Chanko-nabe, one of the hot pot dishes, is known as a dish that sumo wrestlers eat every day. Sumo wrestlers build their big bodies by eating chanko-nabe. Eating a lot of food is part of the training for sumo wrestlers. Building a big body is very important for sumo wrestlers. Sumo wrestlers eat about 10 bowls of chanko-nabe. The word ""chan"" means ""father"" and ""ko"" means ""child. It is a nabe that is eaten with children, and the nabe is filled with various vegetables, fish, and meat. There are many different flavors to choose from, so you will never get bored."
登山家は、山にある小屋で暮らしています。一人で元気に暮らしています。毎朝、三時間山を登ります。そして、野菜を育てて、食べています。登山家は、病院に行ったことがありません。とても元気なので、病気になったことがありません。今日も昼にキノコをとりに行きます。登山家は、キノコについてよく知っています。食べられるキノコと食べられないキノコがあります。その夜、登山家は病気になって、初めて救急車を電話で呼びました。病院に着いたとき、医者は言いました。「食べられないキノコを食べましたか?キノコはとても危険なので、気を付けてください。でも、もう大丈夫です。でも、目が悪くなっています。知っていましたか?休んだ方がいいですよ。」そして、登山家は毎年病院に行って、健康診断を受けます。,"A mountaineer lives in his hut in the mountains. He lives alone and has a very healthy life. Every morning, he goes on a hike for three hours. He grows vegetables and eats them. The mountaineer has never been to the hospital before. Because he lives a healthy life, he has never gotten sick. This afternoon, he goes to pick mushrooms in the mountains. The mountaineer knows a lot about mushrooms. There are mushrooms that are edible as well as mushrooms that are inedible. When he arrived at the hospital, the doctor said: “Did you eat inedible mushrooms? You have to be careful since mushrooms can be very dangerous. But everything is fine now. By the way, your eyes are getting weak. Did you know that? You should take a good rest.” Since then, the mountaineer goes to the hospital to receive a checkup every year."
車の排気ガス規制が強化されている東京で、光化学スモッグが増えている。光化学スモッグの原因となる光化学オキシダンとは、喉や目の痛みなどを引き起こす。都で原因を究明した結果、猛暑の影響に加えて、排気ガス対策で減ってきた窒素酸化物と、あまり減っていないVOC（揮発性有機化合物）の濃度バランスが変化して、光化学オキシダントが発生しやすくなっていることがわかった。VOCの排出源は塗料や印刷インキ、衣服のクリーニングのドライ液などで、これらを使う中小企業での対策は手付かずなのが現状だ。,"Photochemical smog is increasing in Tokyo, where vehicle emission regulations are being tightened. Photochemical oxidants, which cause photochemical smog, cause sore throats and eyes. The Tokyo Metropolitan Government has investigated the causes of photochemical smog and found that, in addition to the effects of the extremely hot summer, changes in the balance between the concentrations of nitrogen oxides, which have been decreasing due to emission control measures, and volatile organic compounds (VOCs), which have not decreased much, have made it easier for photochemical oxidants to be generated. The sources of VOC emissions include paint, printing ink, and dry cleaning solutions for clothes, and small and medium-sized enterprises that use these products have not taken any measures to prevent VOC emissions."
食品を選ぶとき気にするのは生産地より賞味期限。東洋大学が食生活について１０月に１、２年生の学生を対象に調査し１００人の回答をまとめた結果である。回答者は男女ほぼ半数ずつで、自宅通学は５６％だった。食品を選ぶとき気にしている点では「賞味期限」が７３％だった。社会心通学の稲木教授は「最近の若者は安全なものしか口にしないので、五感で確かめることができないのではないか。数字にゆだねるのは、自分の判断への自信のなさの表れ。安全か安全ではないか、という二者択一的感覚が背景にある」と分析している。,"When choosing food products, expiration dates are more important than the place of production. This is the result of a survey conducted by Toyo University on eating habits among first- and second-year students in October, and the responses of 100 people were compiled. The results of the survey are as follows. Almost half of the respondents were male and half female, and 56% of them commuted to school at home. When choosing foods, 73% of the respondents were concerned about “best-before” date. Professor Inaki, a professor of social psychology, commented, “Young people these days eat only safe food, so they may not be able to use their five senses to confirm what they eat. They rely on numbers as a sign of their lack of confidence in their own judgment. This is the background of their feeling of having to choose between safety and unsafety."
青森大学では、新年度から講義への学生の出欠を携帯電話で確認するシステムを導入する。特定の講義で携帯電話で出欠を確認する例はあるが、全学で導入するのはめずらしい。講義中、教員の指定があった時点で、学生が携帯電話から大学の専用サイトにアクセスする。教員がその場で告げる数字を入力すれば出席が記録される。記録されるのは数字が指示されてから約１分間なのので、外部にいる欠席者に数字を伝えても、時間差のため出席を装うことはできない。,"Aomori University will introduce a system to check students’ attendance at lectures by cell phone from the new academic year. While there have been cases of students using their cell phones to check attendance at specific lectures, it is rare for the entire university to introduce such a system. During a lecture, students access the university’s dedicated website from their cell phones at the time designated by the instructor. The attendance is recorded by entering a number that the instructor tells them on the spot. Since attendance is only recorded for approximately one minute after the number is entered, it is not possible to fake attendance even if the number is given to an absent student outside of the lecture due to the time difference."
