Notes,Meaning
上旬,first ten days of the month
初旬,first ten days of the month
中旬,middle ten days the month
下旬,last ten days of the month
第２月曜日,the second monday of the month
第３月曜日,the third monday of the month
年末年始,the year end and the beginning of the new year
正午,noon
ただし,however
なお,further
利用案内,usage instruction
開館時間,hours of operation
平日,weekday
祝日,"national holiday, public holiday"
休館日,closed day
特別休館日,special closing days
電気工事,electrical works
臨時,"temporary, provisional, special, extraordinary"
児童室,"children’s room, nursery"
向かい,"opposite, across from, other side"
ななめ向かい,diagonally opposite
手前,before
角,corner
四つ角,"crossroad, intersecting street, street corner"
交差点,intersection
有料駐車場,a pay parking lot
つきあたり,at the end of
前方,ahead
後方,behind
左折する,turn left
右折する,turn right
徒歩,on foot
面している,facing
一方通行,a one-way street
会場の案内図,map direction to the venue
地下,below the ground 
地下鉄桜の駅より徒歩十分,ten-minute walk from sakura subway station
五番出口を出て,go out from exit no. 5
方面に向かって歩き,walk in the direction of
４つ目の信号で左折して,"at the fourth traffic light, turn left"
１００メートルほど行った,about 100 meters down the road
その角から,from that corner
４軒向こうのビルの地下,basement of the building 4 doors over
会場の斜め向かいに,diagonally across from the venue
有料駐車場があります,paid parking is available
ビルに面した道路,road facing the building
一方通行になっています,it is a one-way street
チラシ,"leaflet, scattering"
散らし,"leaflet, scattering"
２０００年以前,prior to year 2000
４人以上のグループ,groups of 4 or more
１４歳未満の少年,boys under 14 years of age
５日以内,within 5 days
１０時以後,after 10 o’clock
１1時以降,after 11 o’clock
３０歳以下の女性,women under 30 years old
１０周年記念,the 10th anniversary
１０周年記念サービス,10th anniversary service
おかげさまで,thankfully
６月に開店１０周年を迎えます,we will celebrate our 10th anniversary in june
皆様に感謝の気持ちを込めまして,we would like to thank you all for your support
期間中,during
ご用意してお待ちしております,we will be waiting for you!
ご利用金額より１０００円割引,"1,000 yen discount from the amount spent"
１グループで５０００円以上のご利用の場合,"for a group spending 5,000 yen or more"
お食事をご注文のお客様全員にアイスクリーム,ice cream for all customers who order a meal
そのほか、特別メニューも用意しております,"in addition, special menus are also available"
この機会にぜひご利用してください,take advantage of this opportunity
なお、サービス期間に関係なく,"in addition, regardless of the service period"
一年中、次のサービスを行っています,we offer the following services all year round
４名様以上のグループで利用の場合,for groups of 4 or more people
お食事をご注文のお客様に限ります,only for customers who order a meal
コーヒーはおかわり自由,free coffee refills
試験要項,examination details
似ている言葉に注意しよう,let’s be careful of similar words
１０日まで受け付けます,accepted until the 10th.
１０日までに提出してください,please submit by the 10th
今回の,this time
現在の,"current, present"
今度の,the next
「今回」は終わったばかりのものにも使う,"use ""this time"" for things that just ended"
「今度」は終わったばかりのものにも使う,"use ""next time"" for things that just ended"
提出について,about submission
試験について,about the examination
授業の最終日に試験を行います,an exam will be given on the last day of class
試験範囲は,the scope of the test is
までは除きます,excluding up to
これ以外に,in addition to this
授業で話したことも出しますので,I'll also bring up what we talked about in class
授業ノートをしっかり見直してください,please review your class notes carefully
レポートについて,about the report
以内については,as for within
今学期の一周目に,in the first round of this semester's
渡したプリントで伝えた通りです,as I told you in the printout I gave you
提出期限は,the deadline for submission is
今回は、試験５０％レポート５０％という配分で,"this time, the distribution is 50% exam and 50% report"
成績をつけますので,I'll be grading you
レポートを提出しない場合は,If you do not submit a report
単位を与えません,no credit will be given
必ず７月３１日までに提出してください,be sure to submit by July 31
遅れた場合は,in case of delay
減点しますので注意してください,please note that points will be deducted
病気などの理由で試験が受けられなかった場合は,if you are unable to take the exam due to illness or other reasons
上記のレポートとは,to the above reports
別にレポートを提出しなければなりません,a separate report must be submitted
何か質問があれば連絡してください,contact me if you have any questions.
