Concept,Information
Terms,.
Studying,is an act of learning. 
Learning,is the process of acquiring knowledge or skill.  
Acquiring,is an act of obtaining something by sustained effort or natural selection.  
Memorizing,is an act of learning something so that you will remember it exactly.
Recognizing,"is to identify or acknowledge something as previously been seen, known or encountered."
Recalling,is to bring back to mind what has been learned or experienced.
,
Methods,.
Input Stacking,Stacking inputs through reading and listening.
Output Stacking,Outputting through speaking and writing.
,
Ways,.
Reading,Silent reading. Read aloud.
Listening,Listening to audio and video files.
Speaking,Speaking while seeing the materials being read. Speaking your thoughts.
Writing,Writing and copying the reference material. Writing characters and sentences from your thoughts.
,
Approach,.
Bottom-Up,Learn each elements or components and work through your way up to understand the general concept.
Top-Down,"Roughly understand the context, concept and each components or elements. Wholistic approach."
,
Output Strategy,.
Basic words,Words used in daily life.
Basic word order,Subject-Object-Verb Order.
Basic expressions,"Greetings, etc."
Basic grammar pattern,Structured grammatical patterns.
Basic situational conversations,Basic question and answers. How to react on a given situation.
Communicative skills,"How start, initiate, manage and end conversations."
,
Scripts,.
Hiragana,Target: Two weeks
Katakana ,Target: Two weeks
Kanji Basic,Target: Basic - 250 Kanjis: L5 ⇢ L4
Kanji Intermediate,Target: Intermediate - 750 Kanjis: L3 ⇢ L2
Kanji Advance,Target: Advance - 1+++ Kanjis: Kanji: L1
,
Structure,
Core,Core elements of a sentence.
Basic,"Sentence Types: Verbal, Adjectival, Nominal, Topic-comment sentece."
Compound,Two or more sentences or clauses.
Complex,Sentences which involves complex elements.
Format,Basic format or structure of a sentence.
,
Elements,
Connectives,Target: 50
Advebials,Target: 100
Demonstratives,Target: All
Interrogatives,Target: All
Adjectives,Target: 300
Adjectival Nouns,Target: 500
Pronouns,Target: All
Prefixes,Target: 30
Nouns,Target: 30000
Suffixes,Target: 30
Counters,Target: 30
Time indicators,Target: 30
Location indicators,Target: 30
Nominalizer,Target: 2
Particles,Target: All
Combined particles,Target: 200
Adverbs,Target: 300
Onomatope,Target: 150
Verbs,Target: 2000
Helpers,Target: 100
Auxiliaries,Target: 100
Conjunctions,Target: 100
Grammatical Phrases,Target: 100
Ending particles,Target: All
Copula,Target: All
,
Communication Strategy,.
Calling an attention,Different ways to attract someone’s attention.
