Expression,Translation
ヘッダーまたはフッターを作成するにはどうすればいいですか。,How do I create a header or footer?
段落の配置を変更するにはどうすればいいですか。,How do I change the placement of paragraphs?
タブのグループを保存するにはどうすればいいですか。,How do I save a group of tabs?
単純計算を実行するにはどうすればいいですか。,How do I perform a simple calculation?
モデムの設定を変更するにはどうすればいいですか。,How do I change modem settings?
ライブラリを作成または変更するにはどうすればいいですか。,How do I create or modify a library?
ウイルスをチェックして削除するにはどうすればいいですか。,How do I check for and remove viruses?
フィードを購読するにはどうすればいいですか。,How do I subscribe to a feed?
語学コースへログインするにはどうすればいいのでしょうか。,How do I log in to a language course?
プログラムを設定するにはどうすればいいですか。,How do I set up my program?
ソフトウェアをインストールするにはどうすればいいですか。,How do I install the software?
どうすればいいかもう分からない。,I don't even know what to do anymore.
古いボタンを削除するにはどうすればいいですか。,How do I delete old buttons?
タスクをアーカイブしたくない場合はどうすればいいですか。,What if I don't want to archive a task?
背景色や背景画像を印刷するにはどうすればいいですか。,How do I print a background color or background picture?
それらの写真を戻すにはどうすればいいですか。,How do I put those pictures back?
技術的な問題が起きた場合はどうしたらいいですか。,What if I have technical problems?
何を食べたらいいですか。,What should I eat?
誰に知らせたらいいですか。,Who should I notify?
今すぐデータを復元するにはどうしたらいいですか。,How do I restore my data now?
招待の設定を変更するにはどうしたらいいですか。,How do I change my invitation preferences?
修了証明書の言語を変更するにはどうしたらいいですか。,How do I change the language of my certificate of completion?
届いた商品に欠陥がある場合はどうしたらいいですか。,What should I do if the item I received is defective?
助けられたらいいんだけど。,I wish I could help.
どう助言したらいいものか。,How can I advise you?
これを回避するにはどうしたらいいか。,How can I avoid this?
彼女の指のサイズをどうやって測定したらいいでしょう。,How can I measure her finger size?
本当にどうしたらいいか分からない。,I really don't know what to do.
どうやって注文すればいいですか。,How do I place an order?
いつ申し込めばいいですか。,When should I apply?
誰に聞けばいいですか。,Who do I ask?
何を持ってくればいいですか。,What should I bring?
いくら払えばいいですか。,How much should I pay?
何時に来ればいいですか。,What time should I come?
何枚コピーすればいいですか。,How many copies should I make?
いつまでに出せばいいですか。,When should I submit it?
どんなふうに書けばいいですか。,How should I write?
梅雨はいつ終わるのかしら。,I wonder when the rainy season will end.
忘れたくなったらいつでも呼んで。,"If you ever want to forget, you can always call me."
いつ会計士はパリに到着する。,When will the accountant arrive in Paris.
いつでもシステムのセキュリティステータスを決定できる。,"At any time, the security status of the system can be determined."
自然はどうやって太陽エネルギーを集めるか。,How does nature collect solar energy?
どうやって使うのか。,How to use it.
どうやって侵入したのか。,How did they get in?
どんなアイデアでも試すことができます。,We can try any idea.
どんなシステムでも侵入できた。,Any system could be penetrated.
ラジオを聞くのが好き。,I like to listen to the radio.
部屋を散らかすのが好き。,Likes to make a mess in his room.
彼女を見るのが好き。,Love seeing her.
彼は夏に泳ぐのが好きだ。,He likes to swim in the summer.
我々がここで色々な事をするのが好きだ。,I like the way we do things here.
来年留学するつもりです。,I plan to study abroad next year.
彼らは放課後野球をするつもりです。,They intend to play baseball after school.
彼らはアメリカに移住するつもりです。,They intend to immigrate to the United States.
フランス語を専攻するつもりです。,I plan to major in French.
君がでてくるまえには取り戻すさ。,I'll have it back before you get out.
事態が悪化するまえに支配力を戻そうとした。,They tried to regain control before things got worse.
いつも寝る前に牛乳を一杯飲みます。,I always drink a glass of milk before bed.
私たちは初詣をして健康を祈りました。,We visited a shrine to pray for health in the New Year.
元旦には大勢の人々がこの寺院にお参りをします。,Many people visit this temple on New Year's Day.
伊勢神宮を訪れたいとずっと思っていました。,I have long wanted to visit the Ise Shrine.
私はテレビで箱根駅伝を観るのが大好きです。,I love to watch the Hakone Ekiden on TV.
私は友人を訪ねて「新年おめでとう」と挨拶するのが大好きです。,I love to visit my friends and wish them a happy New Year.
私は時間があれば遅くまで寝ているのが大好きです。,I love to sleep in late when I get the chance.
若い女性が着物を着ているのを見るのはとてもいいものだ。,It is so nice to see the young girls wearing kimonos.
子供たちが凧揚げしているのを見るのはとても良いものだ。,It is so nice to see the children playing with kites.
列車が時刻どおりに運行しているのを見るのはとても気持ちがいい。,It is so nice to see the trains running on time.
今年は素晴らしい年になるような気がします。,I have a feeling that this is going to be a wonderful year.
今年は理想の男性にめぐり合えるような気がします。,I have a feeling that I will meet the man of my dreams this year.
私は今日は大忙しになるような気がします。,I have a feeling that today will be very busy.
私の年頭の決意は日記をつけることです。,My new year's resolution is to keep a diary.
私の年頭の決意は仕事に遅れないことです。,My new year's resolution is never to be late for work.
私の年頭の決意は衣服にかけるお金を減らすことです。,My new year's resolution is to spend less money on clothes.
私たちが昼食に食べた餅は、地元の子供たちがついたものです。,The rice cakes we had for lunch were pounded by the local children.
私たちが夕食に食べたカニは、北海道から取り寄せたものです。,The crab we had for dinner was ordered from Hokkaido.
私が朝食に食べたワッフルはおいしかった。,The waffles I had for breakfast were delicious.
