Kanji,Meaning,S1,S2,S3,S4,S5,S6,S7,S8
人,person,人種,人民,人体,人質,人物,人命,人柄,人造
日,"day, sun",日付,日焼け,日光,日常,日差し,日時,日程,日帰り
年,year,少年,年寄り,青年,年齢,年生,成年,年度,年金
本,"book, this, main",資本,本能,本質,脚本,本物,基本,本来,見本
子,child,子孫,子会社,子宮,子役,子育て,子供用,子牛,子守唄
国,country,国際,外国人,国境,国民,国家,国籍,天国,全国
分,"part, understand",気分,分析,分かる,分布,水分,分裂,分野,余分
行,"go, carry out",旅行,銀行,行動,行く,行列,行う,急行,行政
一,one,一致,一方,一層,一生,一般,一瞬,一応,一流
大,big,大人,大使館,大統領,大使,大通り,莫大,大きい,巨大
出,exit,出版,輸出,出る,出す,出血,演出,外出,出席
中,inside,背中,中学校,中心,途中,中立,夜中,中止,集中
見,see,花見,発見,見る,見物,意見,偏見,見積もり,拝見
上,above,上げる,上手,以上,頂上,上達,上等,売り上げ,上級
生,life,生活,生産,生命,生物,誕生,衛生,生き物,発生
二,two,二人,二部,二日酔い,二番,二階,二十世紀,二枚,二重
学,learn,数学,科学,文学,入学,医学,留学,通学,学習
何,what,何も,何か,何で,何時でも,何とも,何しろ,何分,何となく
話,say,会話,話題,話す,神話,世話,対話,手話,携帯電話
高,"high, expensive",高い,高校,最高,高価,高速,高度,高める,高級
書,write,読書,教科書,図書館,書物,書く,書店,秘書,書類
名,name,署名,有名,名所,名刺,名物,名札,名誉,題名
男,man,男性的,男子,長男,男女,男優,男前,男装,男児
四,four,四季,四角,四国,四半期,四方,四人,四つ角,四球
月,"month, moon",先月,満月,月給,月末,月賦,月並み,月謝,毎月
来,come,未来,来週,将来,以来,本来,来日,従来,外来
山,mountain,登山,火山,山脈,鉱山,山岳,山腹,山火事,氷山
今,now,今日,今朝,今度,今回,今後,今更,昨今,今期
五,five,十五,五輪,五感,五分,,,,
金,gold,金属,現金,奨学金,金融,金庫,黄金,賃金,預金
外,outside,郊外,外交,以外,外出,外す,意外,例外,案外
先,previous,先輩,先日,先頭,先端,先ほど,優先,勤め先,先行
百,hundred,八百屋,百科事典,百姓,百貨店,八百長,何百,,
西,west,西洋,西暦,関西,東西,大西洋,西部,西側,西方
千,thousand,何千,千里,数千,千円札,千切る,千葉,幾千,
右,right,左右,右側,右手,右足,右上,右折,右派,極右
左,left,左利き,左手,左側,左腕,左派,左足,左折,左上
火,fire,火災,花火,火山,噴火,火事,防火,下火,火薬
雨,rain,梅雨,梅雨,雨具,雨天,雨季,雷雨,雨水,小雨
午,noon,,,,,,,,
休,rest,,,,,,,,
長,long,,,,,,,,
下,below,,,,,,,,
母,mother,,,,,,,,
半,half,,,,,,,,
毎,every,,,,,,,,
小,small,,,,,,,,
後,after,,,,,,,,
間,"interval, space",,,,,,,,
気,spirit,,,,,,,,
女,woman,,,,,,,,
前,in front,,,,,,,,
八,eight,,,,,,,,
土,"soil, ground",,,,,,,,
校,school,,,,,,,,
六,six,,,,,,,,
時,time,,,,,,,,
十,ten,,,,,,,,
三,three,,,,,,,,
入,enter,,,,,,,,
水,water,,,,,,,,
北,north,,,,,,,,
友,friend,,,,,,,,
万,ten thousand,,,,,,,,
川,river,,,,,,,,
聞,"hear, ask",,,,,,,,
九,nine,,,,,,,,
電,electricity,,,,,,,,
天,sky,天気予報,天才,天国,天体,天候,天然,晴天,天災
読,read,,,,,,,,
南,south,,,,,,,,
白,white,,,,,,,,
東,east,,,,,,,,
語,language,,,,,,,,
円,yen,,,,,,,,
父,father,,,,,,,,
木,tree,,,,,,,,
車,car,,,,,,,,
食,eat,,,,,,,,
