Sentence,Translation,Word,Reading,Meaning
宿題はさっさとやるよう心掛けなさい,Try to do your homework quickly,心掛ける,こころがける,"bear in mind, aim to do, try to do"
現在でも多くの国で現役である,Still in service in many countries today,現役,げんえき,"active duty, active service"
僕は思いきり働きたい,I want to work to the best of my ability,思い切り,おもいきり,"to heart's content, to one’s best ability"
考えたすえに彼との結婚は思い切ることにした,"After thinking about it, I decided not to marry him",思い切る,おもいきる,"give up all thoughts, make up one's mind "
そのように思い切って公表するようになった,I'm now bold enough to publicize it that way,思い切って,おもいきって,"resolutely, boldly, daringly"
何をやらせても彼女は割り切って行動している,"No matter what I let her do, she acts divisively.",割り切る,わりきる,"clear cut, clean decision, clear solution"
ファイルを開き直す必要がなくなります,No more need to reopen files,開き直す,ひらきなおす,to reopen
高齢者講習や初心者講習も行っている,There is an advanced class as well as a beginners class,講習,こうしゅう,"short course, training"
素材の味を生かした料理,A dish that brings out the taste of the ingredients,素材,そざい,"ingredient, material, resource"
一期一会の貴重な機会となることでしょう,It will be a once-in-a-lifetime opportunity,一期一会,いちごいちえ,once-in-a-lifetime encounter
報告の前篇を記しました,I have written the first part of the report,前篇,ぜんぺん,"first part, prequel"
一般モデルは後編をお楽しみに,Please enjoy the second part of the general model.,後編,こうへん,"latter part, sequel, concluding part"
緊迫した情勢にうまく対処する,Dealing successfully with tense situations,対処,たいしょ,"dealing with, coping with"
我々が対決を見ていることは明らかです,It is clear we are looking at a showdown,対決,たいけつ,"confrontation, showdown​"
鎮火には数日を要した,It took several days to extinguish the fire,鎮火,ちんか,"extinguish, putting out"
地盤が10センチ沈下した,The ground has sunk 10 cm,沈下,ちんか,"sinking, settling, subside"
鎮痛剤は痛いときだけ飲んでください,Take painkillers only when it hurts,鎮痛剤,ちんつうざい,"analgesic, painkiller, sedative"
新しい鎮圧がこう始まりました,The new suppression began like this,鎮圧,ちんあつ,"suppress, putting down"
通常は鎮静効果への耐性が出現する,Tolerance to the sedative effect usually develops,鎮静,ちんせい,"calm, quiet, tranquil"
喜びに溢れた密接な空間を作り出してくれた,They created a close-knit space full of joy,作り出す,つくりだす,"manufacture, produce, invent, create"
振動を嫌う精密機器に適しています,Suitable for precision instruments that do not tolerate vibration,精密,せいみつ,"precise, exact, detailed"
過密状態を引き起こす可能性があります,May cause overcrowding,過密,かみつ,"overcrowding, congestion, crammed"
機密性とプライバシーは　非常に重要ですが,Confidentiality and privacy are very important,機密,きみつ,"confidential, highly classified information"
生活に密着した工芸作品,Craft works closely related to daily life,密着,みっちゃく,"sticking firmly, closely related, having relevance"
利用者データ収集機能を見る,View User Data Collection Functions,利用者,りようしゃ,"end-user, consumer"
我々はその利益を分け合った,We shared in the profits,利益,りえき,"profit, gains, benefit, advantage"
みんな自分を守る権利があるだろ,People have a right to protect themselves,権利,けんり,"right, privilege"
希望がいつか勝利へと導く,Hope will one day lead to victory,勝利,しょうり,"victory, triumph"
もし雨なら遠足は中止です,"If it rains, the excursion will be cancelled",遠足,えんそく,"field trip, excursion"
彼はわが社の優秀な営業マンです,He is an excellent salesman for our company,優秀,ゆうしゅう,"superior, excellent"
優勝街道を突っ走る,Running on the road to victory,優勝,ゆうしょう,overall victory
浅草で一番大きな商店街として観光客にも人気,Popular among tourists as the largest shopping street in Asakusa,商店街,しょうてんがい,shopping district
その横には街灯が立っている,Beside it stands a street lamp,街灯,がいとう,street light
彼らは街路の雪を取り払った,They cleared the snow from the streets,街路,がいろ,"road, street, avenue"
金融街にも徒歩で簡単にアクセス可能です,Easy walking access to the financial district,金融街,きんゆうがい,financial district
住宅街の小さな店ですが足を運ぶ価値あり,"Small store in a residential area, but worth a visit.",住宅街,じゅうたくがい,residential area
そのため周囲の景色や町並みは大きく異なります,The surrounding scenery and townscape are thus very different,町並み,まちなみ,townscape
海岸に自生しますが公園や街路樹でも見られます,"Native to the coast, but also found in parks and along streets.",街路樹,がいろじゅ,roadside trees
町外れの道で会った青年,Young man I met on a street outside of town.,町外れ,まちはずれ,outskirts
京都最大の歓楽街の祇園,"Gion, Kyoto's largest entertainment district",歓楽街,かんらくがい,entertainment district
街づくりに欠かせないのがハードとソフトの融合です,Integration of hard and soft aspects is vital for urban development,街づくり,まちづくり,"town planning, urban development"
廃棄物を処理する,Disposal of waste,処理,しょり,"process, deal, treat, dispose"
ご一読の後この手紙はご処分願います,Please dispose of this letter after reading it,処分,しょぶん,"dispose, throw away, sell off, deal"
温度検出によって適切な処置が決まります,Temperature detection determines appropriate treatment,処置,しょち,"measure, step, deal with, medical treatment"
途中の見処や詳しい道筋などご案内いたします,We will guide you on the way and provide detailed information on the route,見処,みどころ,"part worth seeing, highlight"
どんな処方薬を取っているか,What prescription drugs are you taking,処方,しょほう,"prescription, recipe, formula"
その処罰が何か分かるな,You know what that punishment is,処罰,しょばつ,"punishment, penalty"
欲しいなら抗ウイルス薬の処方箋を書くわ,"If you want, I can write you a prescription for antivirals.",処方箋,しょほうせん,prescription
駆け引きすることを覚えている,Remember to bargain,駆け引き,かけひき,"bargaining, haggling, tactics"
彼は英語を自由に駆使する,He has a perfect command of English,駆使,くし,"using freely, making full use of, good command of"
台湾早期の油絵芸術の先駆けとなった人物です,He was a pioneer of oil painting art in early Taiwan,先駆け,さきがけ,"pioneer, leader, forerunner"
害虫を駆除する,Exterminate pests,駆除,くじょ,"extermination, expulsion, destruction"
