Sentence,Translation,Verb,Reading,Meaning
結果を出して,Produce good result,出す,だす,"out out, take out, submit, produce"
優秀な人材を揃えた,Have excellent people in place,揃える,そろえる,"collect, gather, arrange, put in place"
新たに設けられた,Newly established,設ける,もうける,"prepare, provide, set up, establish"
キャリアアップに繋がる,Leads to career advancement,繋がる,つながる,"connected to, link to, lead to"
運命を変える,Change one's fate,変える,かえる,"change, alter, reform, revise"
見つかって良かった,Glad you found it,見つかる,みつかる,"be found, be discovered"
これでランチに行けるよ,Now we can go to lunch,行ける,いける,"can go, can do"
しっかり補佐を頼む,Make sure he's well assisted,頼む,たのむ,"request, call, ask, order, rely on"
未来の可能性を開拓しましょう,Explore future possibilities,開拓する,かいたくする,"reclaim, cultivate, develop"
状況はちゃんと把握しろよ,Get the situation right,把握する,はあくする,"understand, grasp, hold, grip"
バスが停まっている間ね,While the bus is stopped,停まる,とまる,"stop, cease, come to a halt"
思わず笑みを浮かべるような一皿,A dish that makes you smile,浮かべる,うかべる,"set afloat, launch, recall, show on one’s face"
それが本作を推した理由である,That is the reason I endorse this work,推す,おす,"recommend, endorse, infer, deduce, think through"
それはもともと推定された,It was originally estimated,推定する,すいていする,"presume, assume, estimate"
学校を推薦します,I recommend the school,推薦する,すいせんする,"recommend, refer, endorse"
特定の操作の意味を推測します,Guess the meaning of a particular operation,推測する,すいそくする,"guess, speculate, suppose"
事件を推理してみろ,Try to deduce the case,推理する,すいりする,"reason, infer, deduce"
当社はこの企画を推進している,Our company is promoting this project,推進する,すいしんする,"drive, propel, promote, push forward, advance"
違ったように推論するはずです,They would reason differently,推論する,すいろんする,"infer, deduce, reason"
一進一退で推移した,It went back and forth,推移する,すいいする,"change, shift, transit, progress"
講義から類推すると,By analogy from the lecture,類推する,るいすいする,"analyze, infer, analogical inference"
兵庫県に引っ越す,Move to Hyogo Prefecture,引っ越す,ひっこす,"move, change residence"
ロープを引っ張った,I pulled the rope,引っ張る,ひっぱる,"pull, draw, drag, lead"
途中で引っかかって,Caught in the middle,引っかかる,ひっかかる,"be caught in, be stuck in, stop by, get entangled in"
家に引っ込んでいる,Staying indoors,引っ込む,ひっこむ,"draw back, cave in, sink, retire"
クレーンに引っ掛けることもできます,Can be hooked to a crane,引っ掛ける,ひっかける,"hang, hook, catch, trap, cheat"
シールがぴったり引っ付く,Stickers stick perfectly,引っ付く,ひっつく,"stick to, cling to, adhere to, get close"
サービス業の会社として創業致しました,Established as a service company,創業する,そうぎょうする,"found, establish"
周りからも言われるんですよね,People tell me that,言われる,いわれる,"got to say, got to tell, got told"
将来の後取り息子として生まれました,Born as the son of a future successor,生まれる,うまれる,to be born
この日に任務を引き継ぐ,I take over the mission on this day,引き継ぐ,ひきつぐ,"take over, hand over"
また再び同じことが繰り返されるのです,And it will happen all over again,繰り返す,くりかえす,"to repeat, do over again"
人々が美味しいと言ってくれるようなお菓子,Treats that people will say are delicious,言ってくれる,いってくれる,"they say, people say"
お菓子をいっぱい作りたいです,I want to make lots of sweets,作りたい,つくりたい,want to make
ずっとそういう風に思っておりました,That's what I've always thought,思っておりました,おもっておりました,"have thought, have been thinking"
これらの規則は誰にも同じように当てはまる,These rules apply equally to everyone,当てはまる,あてはまる,"to apply, be applicable, hold true, fit, suit"
