Words,Reading,Meaning,Level
発射,はっしゃ,"firing, shooting",2
発揮,はっき,"showing, exhibiting",2
発車,はっしゃ,"departure, leaving",1
発売,はつばい,"sale, offering",2
発想,はっそう,"idea, conception",2
発言,はつげん,"statement, remark",2
発電,はつでん,generation,2
開発,かいはつ,"development, exploitation",2
発生,はっせい,"occurrence, incidence, outbreak",2
始発,しはつ,first departure,2
活発,かっぱつ,"lively, active",2
発育,はついく,"growth, development",2
再発,さいはつ,"return, relapse, recurrence",2
発掘,はっくつ,"excavation, exhumation",2
発足,ほっそく,"starting, inauguration",2
発電所,はつでんしょ,power plant,2
発声,はっせい,"utterance, speaking",2
発電機,はつでんき,power generator,2
宇宙開発,うちゅうかいはつ,space development,3
発酵,はっこう,fermentation,2
再開発,さいかいはつ,redevelopment,3
発散,はっさん,"emission, radiation",2
発条,ばね,"spring, bounce",2
自発的,じはつてき,spontaneous,3
発する,はっする,"let out, produce",1
告発,こくはつ,indictment,2
発砲,はっぽう,firing,2
発送,はっそう,"sending, forwarding, shipping",2
発注,はっちゅう,placing an order,2
多発,たはつ,repeated occurrence,2
発端,ほったん,"origin, opening, starting",2
発覚,はっかく,"detection, discovery, uncovered",2
摘発,てきはつ,"exposing, unmasking",2
原発,げんぱつ,nuclear power plant,2
連発,れんぱつ,running continuously,2
発給,はっきゅう,"issuance, issuing",2
挑発,ちょうはつ,"provocation, stirring up",2
発刊,はっかん,"publication, issue",2
増発,ぞうはつ,increasing the number in operation,2
発案,はつあん,"suggestion, proposition",2
触発,しょくはつ,contact detonation,2
発祥,はっしょう,origin,2
発動,はつどう,"putting into operation, invocation",2
発起人,ほっきにん,"originator, promoter",2
奮発,ふんぱつ,"strenuous exertion, splurge",2
発芽,はつが,"germination, sprouting, budding",2
発汗,はっかん,"sweating, perspiration",2
開発者,かいはつしゃ,developer,2
発明家,はつめいか,inventor,3
勃発,ぼっぱつ,"outbreak, outburst",3
暴発,ぼうはつ,spontaneous discharge,2
一触即発,いっしょくそくはつ,critical situation,3
突発,とっぱつ,"outbreak, occurrence",2
発行者,はっこうしゃ,"issuer, publisher",3
発祥地,はっしょうち,"birthplace, place of origin",2
