Word,Level
男の子,5
好き,5
医者,5
年,5
レストラン,5
山,5
向こう,5
九日,5
聞く,5
なる,5
鳴く,5
低い,5
買う,5
九つ,5
売る,5
金曜日,5
危ない,5
体,5
銀行,5
よく,5
よい,5
ください,5
降る,5
明るい,5
下,5
次,5
建物,5
はがき,5
いる,5
時計,5
ニュース,5
財布,5
西,5
どの,5
大切,5
会社,5
嫌い,5
春,5
箱,5
洋服,5
勉強,5
写真,5
大人,5
大丈夫,5
声,5
あなた,5
起きる,5
便利,5
大勢,5
乗る,5
会う,5
六,5
六つ,5
ポスト,5
ある,5
立派,5
返す,5
辺,5
熱い,5
汚い,5
朝,5
狭い,5
重い,5
万年筆,5
猫,5
レコード,5
橋,5
グラム,5
鉛筆,5
教室,5
縦,5
傘,5
もっと,5
外国,5
外国人,5
他,5
やる,5
寝る,5
ベッド,5
あそこ,5
旅行,5
ドア,5
スポーツ,5
あれ,5
広い,5
雨,5
宿題,5
地図,5
難しい,5
新聞,5
曇り,5
いくつ,5
いくら,5
国,5
白い,5
白,5
晴れる,5
晴れ,5
散歩,5
閉める,5
面白い,5
右,5
並べる,5
並ぶ,5
答える,5
こたえる,5
たくさん,5
わかる,5
窓,5
ネクタイ,5
来る,5
始め,5
初めて,5
静か,5
下手,5
浴びる,5
高い,5
一番,5
欲しい,5
スカート,5
悪い,5
寒い,5
犬,5
耳,5
作文,5
青い,5
百,5
大変,5
青,5
長い,5
飛ぶ,5
暖かい,5
とても,5
どう,5
朝ご飯,5
咲く,5
開く,5
留学生,5
お弁当,5
つまらない,5
地下鉄,5
道,5
でも,5
玄関,5
知る,5
きれい,5
まだ,5
新しい,5
奥さん,5
スプーン,5
出口,5
なくす,5
茶色,5
若い,5
お兄さん,5
お金,5
涼しい,5
料理,5
お菓子,5
学生,5
牛肉,5
牛乳,5
ズボン,5
セーター,5
去年,5
古い,5
ええ,5
コーヒー,5
学校,5
北,5
まずい,5
出す,5
閉まる,5
締める,5
仕事,5
出る,5
もう一度,5
角,5
木曜日,5
辞書,5
二つ,5
コート,5
二,5
書く,5
庭,5
ご飯,5
覚える,5
木,5
服,5
走る,5
自分,5
薄い,5
空,5
暑い,5
自動車,5
おばさん,5
誰,5
所,5
見る,5
頼む,5
自転車,5
来年,5
いろいろ,5
石鹸,5
家,5
撮る,5
風呂,5
脱ぐ,5
見せる,5
色,5
嫌,5
来週,5
ノート,5
そうして,5
夏,5
歩く,5
遅い,5
借りる,5
曲がる,5
夏休み,5
言う,5
池,5
メートル,5
言葉,5
どうも,5
置く,5
車,5
スリッパ,5
どれ,5
交差点,5
全部,5
砂糖,5
歌,5
番号,5
隣,5
豚肉,5
果物,5
シャツ,5
呼ぶ,5
人,5
まっすぐ,5
丈夫,5
晩,5
上着,5
お父さん,5
消える,5
フィルム,5
お茶,5
差す,5
消す,5
緑,5
二日,5
中,5
お腹,5
これ,5
お母さん,5
お手洗い,5
おまわりさん,5
着る,5
使う,5
生まれる,5
映画館,5
映画,5
楽しい,5
おばあさん,5
小さな,5
パーティ,5
ワイシャツ,5
ナイフ,5
廊下,5
靴,5
靴下,5
お風呂,5
八百屋,5
八日,5
授業,5
そば,5
女,5
女の子,5
箸,5
テレビ,5
七つ,5
七,5
飴,5
止まる,5
三つ,5
安い,5
死ぬ,5
大きい,5
卵,5
食堂,5
うるさい,5
お皿,5
喫茶店,5
雑誌,5
食べ物,5
赤い,5
食べる,5
家庭,5
お姉さん,5
家族,5
左,5
歌う,5
友達,5
読む,5
着く,5
弱い,5
カップ,5
切符,5
晩御飯,5
掃除,5
疲れる,5
誕生日,5
取る,5
ペン,5
郵便局,5
弟,5
切手,5
吸う,5
待つ,5
花,5
あちら,5
洗う,5
赤,5
遊ぶ,5
冷たい,5
洗濯,5
引く,5
火曜日,5
一つ,5
一,5
辛い,5
本棚,5
かばん,5
英語,5
キログラム,5
キロ,5
肉,5
キロメートル,5
泳ぐ,5
天気,5
いつも,5
タクシー,5
ギター,5
早い,5
川,5
賑やか,5
本,5
アパート,5
生徒,5
交番,5
醤油,5
六日,5
吹く,5
いつ,5
夜,5
足,5
プール,5
問題,5
図書館,5
電話,5
話,5
電車,5
暗い,5
物,5
方,5
二十日,5
切る,5
ペット,5
二十歳,5
甘い,5
短い,5
紙,5
漢字,5
買い物,5
有名,5
飲み物,5
休み,5
終わる,5
休む,5
軽い,5
ページ,5
降りる,5
座る,5
曇る,5
私,5
シャワー,5
電気,5
戸,5
警官,5
かわいい,5
結構,5
結婚,5
なぜ,5
雪,5
どこ,5
ホテル,5
何,5
いい,5
南,5
昼ご飯,5
手紙,5
午後,5
この,5
再来年,5
入口,5
荷物,5
二人,5
歯,5
上る,5
れい,5
五日,5
上げる,5
貸す,5
頭,5
など,5
机,5
カメラ,5
手,5
こんな,5
磨く,5
上,5
店,5
冷蔵庫,5
五,5
五つ,5
日曜日,5
こちら,5
子供,5
秋,5
姉,5
駅,5
始まる,5
すぐに,5
四日,5
半,5
どなた,5
どちら,5
野菜,5
四つ,5
話す,5
公園,5
鳥,5
黄色,5
男,5
横,5
塩,5
渡る,5
渡す,5
黒い,5
黒,5
水,5
どうぞ,5
花瓶,5
ハンカチ,5
飲む,5
一日,5
一昨年,5
一人,5
押す,5
夕方,5
弾く,5
一昨日,5
夕べ,5
バター,5
町,5
今晩,5
先週,5
背,5
文章,5
紅茶,5
今月,5
先月,5
月曜日,5
今週,5
九,5
大きな,5
魚,5
椅子,5
黄色い,5
ボールペン,5
台所,5
バス,5
ボタン,5
する,5
冬,5
コップ,5
先,5
風邪,5
じゃあ,5
忘れる,5
飛行機,5
忙しい,5
帽子,5
上手,5
同じ,5
風,5
エレベーター,5
封筒,5
テーブル,5
後,5
後ろ,5
いいえ,5
作る,5
前,5
テープレコーダー,5
元気,5
また,5
カレンダー,5
部屋,5
帰る,5
動物,5
テープ,5
カレー,5
働く,5
毎週,5
毎朝,5
毎日,5
毎晩,5
八つ,5
八,5
茶碗,5
妹,5
昼,5
さあ,5
午前,5
灰皿,5
入る,5
兄,5
兄弟,5
一月,5
入れる,5
だんだん,5
鍵,5
パン,5
たばこ,5
立つ,5
病院,5
病気,5
半分,5
村,5
今,5
小さい,5
デパート,5
いる,5
海,5
クラス,5
習う,5
勤める,5
ここ,5
薬,5
眼鏡,5
はい,5
土曜日,5
意味,5
それでは,5
暇,5
両親,5
水曜日,5
階段,5
音楽,5
名前,5
十日,5
外,5
太い,5
背広,5
三日,5
七日,5
時間,5
もう,5
四,5
違う,5
ぬるい,5
持つ,5
目,5
ポケット,5
東,5
昨日,5
千,5
今年,5
今朝,5
今日,5
近く,5
近い,5
おいしい,5
大使館,5
鼻,5
丸い,5
あまり,5
フォーク,5
大好き,5
字引,5
門,5
夕飯,5
張る,5
それから,5
それ,5
大学,5
明後日,5
明日,5
テスト,5
その,5
ラジカセ,5
ちょっと,5
ラジオカセット,5
万,5
ラジオ,5
細い,5
お酒,5
毎月,5
毎年,5
質問,5
教える,5
遠い,5
練習,5
そちら,5
そして,5
一緒,5
どうして,5
ちょうど,5
時々,5
そこ,5
出かける,5
ストーブ,5
トイレ,5
強い,5
口,5
一日,5
多分,5
厚い,5
痛い,5
少し,5
開ける,5
少ない,5
皆さん,5
しかし,5
多い,5
住む,5
絵,5
行く,5
困る,5
先生,5
みんな,5
どっち,5
どう,5
とても,5
つまらない,5
いくつ,5
そっち,5
そちら,5
お金,5
お父さん,5
お母さん,5
こんな,5
そう,5
そんな,5
どうも,5
もう,5
もっと,5
ゆっくり,5
アパート,5
エレベーター,5
カップ,5
カメラ,5
カレー,5
カレンダー,5
キロ,5
ギター,5
クラス,5
グラム,5
コート,5
コップ,5
シャツ,5
シャワー,5
スカート,5
ストーブ,5
スプーン,5
スポーツ,5
ズボン,5
セーター,5
ゼロ,5
タクシー,5
テーブル,5
テープ,5
テスト,5
テレビ,5
デパート,5
トイレ,5
ドア,5
ナイフ,5
ニュース,5
ネクタイ,5
ノート,5
ハンカチ,5
バス,5
バター,5
パーティー,5
パン,5
フィルム,5
フォーク,5
父,5
母,5
弟,5
兄,5
妹,5
姉,5
女,5
女の子,5
男,5
男の子,5
男子,5
男の人,5
男女,5
子供,5
自分,5
外国人,5
留学生,5
大人,5
友達,5
親,5
果物,5
飲み物,5
食べ物,5
豚肉,5
牛肉,5
朝ご飯,5
夜ご飯,5
晩御飯,5
昼ご飯,5
酒,5
服,5
靴,5
靴下,5
洋服,5
和服,5
コート,5
シャツ,5
スカート,5
ズボン,5
部屋,5
台所,5
洗濯,5
掃除,5
家,5
庭,5
本棚,5
花瓶,5
家庭,5
ぼうし,5
電気,5
図書館,5
映画館,5
教室,5
新聞,5
公園,5
白い,5
鳥,5
東京,5
病院,5
仕事,5
終わる,5
帰る,5
変える,5
換える,5
返る,5
食べる,5
飲む,5
眠る,5
寝る,5
歩く,5
散歩,5
歩行,5
走る,5
飛ぶ,5
曲がる,5
回る,5
成る,5
回す,5
教える,5
育てる,5
伝える,5
勉強する,5
学ぶ,5
習う,5
調べる,5
言う,5
見る,5
立つ,5
座る,5
笑う,5
見える,5
見つける,5
知る,5
上げる,5
受ける,5
出る,5
出す,5
入る,5
入れる,5
渡る,5
なるほど,4
男性,4
決まる,4
気持ち,4
喜ぶ,4
鳴る,4
ビル,4
汚れる,4
聞こえる,4
なるべく,4
危険,4
湯,4
医学,4
釣る,4
レジ,4
会話,4
降り出す,4
下がる,4
下げる,4
まいる,4
踊り,4
柔らかい,4
盗む,4
時代,4
痩せる,4
葉,4
だいぶ,4
倍,4
建てる,4
会議室,4
会議,4
たいてい,4
講堂,4
用事,4
必要,4
場合,4
郊外,4
場所,4
用,4
会場,4
用意,4
硬い,4
スーツ,4
スーツケース,4
必ず,4
講義,4
だいたい,4
尋ねる,4
