Kanji.A,Read.A,Mean.A,Kanji.B,Read.B,Mean.B,Kanji.C,Read.C,Mean.C
間,あいだ・ま,space・gap,音,おと,sound,柄,がら,pattern・build
青,あお,blue,帯,おび,belt,黄,き,yellow
穴,あな,hole,表,おもて・ひょう,surface,傷,きず,injury
油,あぶら,oil,親,おや,parents,君,きみ,you
案,あん,idea・plan,貝,かい,shellfish,曲,きょく,song・tune
胃,い,stomach,傘,かさ,umbrella,草,くさ,grass
家,いえ・うち,house,数,かず,number of,薬,くすり,medicine
息,いき,breathing,肩,かた,shoulder,靴,くつ,shoes
池,いけ,pond,方,かた・ほう,way・person,首,くび,neck
糸,いと,thread,形,かたち,form・shape,雲,くも,cloud
芋,いも,potato,角,かど,angle,煙,けむり,smoke
歌,うた,song,壁,かべ,wall,県,けん,prefecture
内,うち,inside,紙,かみ,paper,腰,こし,lower back
器,うつわ,bowl・container,髪,かみ,hair,粉,こな,flour
腕,うで,arm・ability,空,から・そら,empty・sky,差,さ,difference
絵,え,picture・drawing,体,からだ,body,坂,さか,slope
枝,えだ,branch,皮,かわ,skin,桜,さくら,cherry blossom
奥,おく,inner part・back,缶,かん,can・tin,皿,さら,plate
猿,さる,monkey,妻,つま,wife,羊,ひつじ,sheep
塩,しお,salt,寺,てら,temple,暇,ひま,free time
島,しま,island,点,てん,point,服,ふく,clothes
城,しろ,castle,鳥,とり,bird,袋,ふくろ,bag・sack
実,じつ・み,truth・fruit,毒,どく,poison,船,ふね,ship
酢,す,vinegar,謎,なぞ,riddle・puzzle,星,ほし,star
隅,すみ,corner・nook,鍋,なべ,pan,骨,ほね,bone・frame
図,ず,map・drawing,波,なみ,wave,棒,ぼう,pole・rod
席,せき,seat,涙,なみだ,tears,僕,ぼく,i・me
咳,せき,cough,庭,にわ,garden,孫,まご,grandchild
線,せん,line,熱,ねつ,heat・fever,町,まち,town・block
底,そこ,bottom・sole,葉,は,leaf,街,まち,town・main street
側,そば・がわ,beside・side,歯,は,tooth,窓,まど,window
象,ぞう,elephant,箱,はこ,box,豆,まめ,beans
他,た・ほか,other・another,橋,はし,bridge,湖,みずうみ,lake
畳,たたみ,tatami mat,箸,はし,chopsticks,緑,みどり,green
棚,たな,shelf,畑,はたけ,field,港,みなと,harbour
旅,たび,travel,鼻,はな,nose,昔,むかし,olden days
卵,たまご,eggs,針,はり,needle,娘,むすめ,daughter
台,だい,stand・platform,倍,ばい,times・double,胸,むね,chest・breast
茶,ちゃ,tea,晩,ばん,evening,村,むら,village
机,つくえ,desk,光,ひかり,light,面,めん,face・surface
物,もの,thing,床,ゆか,floor,用,よう,task・use・business
森,もり,forest,雪,ゆき,snow,横,よこ,side・width
約,やく,promise・approximate,指,ゆび,finger,量,りょう,quantity・amount
湯,ゆ,hot water​,夢,ゆめ,dream,列,れつ,row・line
合図,あいず,signal・sign,一緒,いっしょ,together,影響,えいきょう,influence・effect
相手,あいて,partner・other party,一般,いっぱん,general,営業,えいぎょう,business
青空,あおぞら,blue sky,移動,いどう,movement,栄養,えいよう,nutrition
安心,あんしん,relief・peace of mind,以内,いない,within・inside,笑顔,えがお,smiling face
案内,あんない,guide・lead,田舎,いなか,countryside,駅前,えきまえ,in front of a station
以下,いか,not exceeding・below,居間,いま,living room ,延期,えんき,postponement
以外,いがい,except・excluding,意味,いみ,meaning,演奏,えんそう,musical performance
意見,いけん,opinion,印刷,いんさつ ,printing,遠慮,えんりょ,reserve・restraint
以降,いこう,on and after,印象,いんしょう,impression,海岸,かいがん,coast
維持,いじ,maintain・preserve,飲食,いんしょく,food and drink,会議,かいぎ,meeting
意識,いしき,awareness,飲料,いんりょう,beverage,会計,かいけい,accounting
医者,いしゃ,doctor,受付,うけつけ,reception,解決,かいけつ,resolution
以上,いじょう,not less than and above,右折,うせつ,right turn​,改札,かいさつ,ticket examination
以前,いぜん,before・previous,運転,うんてん ,driving,開始,かいし,start・commence
位置,いち,place・position,運動,うんどう,exercise,回収,かいしゅう,recovery・retrieval
一流,いちりゅう,first-class,映画,えいが,movie,開場,かいじょう,venue opening
応援,おうえん,aid・support,回数,かいすう,number of times,風邪,かぜ,cold・flu
横断,おうだん,crossing,快晴,かいせい,clear weather,下線,かせん,underline・underscore​
往復,おうふく,round-trip ,解説,かいせつ,explanation,花壇,かだん,flower bed
応募,おうぼ,application・entry,階段,かいだん,staircase,価値,かち,value・worth
応用,おうよう,practical application,開店,かいてん,opening a shop,課長,かちょう,section manager
大勢,おおぜい,crowd of people,会話,かいわ,conversation,活動,かつどう,activity・action
大家,おおや ,landlord,価格,かかく,price・value,仮定,かてい,assumption
親子,おやこ,parent and child,科学,かがく,science,感想,かんそう,impressions・thoughts
音楽,おんがく ,music,家具,かぐ,furniture,乾燥,かんそう,dryness・drying
温泉,おんせん,hot spring,確認,かくにん,confirmation,感動,かんどう,deeply moved
温度,おんど,temperature,過去,かこ,the past,看板,かんばん,signboard
開園,かいえん,park opening,加工,かこう,manufacturing,外出,がいしゅつ,going out
絵画,かいが,painting・picture,火災,かさい,conflagration,外食,がいしょく,eating out
海外,かいがい,foreign・abroad,歌手,かしゅ,singer,楽器,がっき,musical instrument
間隔,かんかく,space・interval,我慢,がまん,endurance,帰宅,きたく,returning home
感覚,かんかく,sense・intuition,気温,きおん,air temperature,機長,きちょう,captain
観客,かんきゃく,spectator・audience,機械,きかい,machine,切手,きって,stamp
環境,かんきょう,environment,機会,きかい,chance,記念,きねん,commemoration
関係,かんけい,relation,着方,きかた,way of wearing,昨日,きのう,yesterday
歓迎,かんげい,reception,期間,きかん,period,気分,きぶん,feeling
感激,かんげき,deep emotion,機関,きかん,engine・organization,基本,きほん,basics
観光,かんこう,sightseeing,企業,きぎょう,enterprise,希望,きぼう,hope
観察,かんさつ ,observation,期限,きげん,term・time frame,着物,きもの,kimono
漢字,かんじ,kanji,帰国,きこく,homecoming,休講,きゅうこう,cancellation
感謝,かんしゃ,gratitude,記事,きじ,article,休日,きゅうじつ,holiday
患者,かんじゃ,patient,季節,きせつ,season,給料,きゅうりょう,salary
感心,かんしん,admiration,基礎,きそ,foundation・basis,教育,きょういく,education
関心,かんしん,concern・interest,規則,きそく,rule・regulation,教室,きょうしつ,classroom
完成,かんせい,completion,期待,きたい,expectation,競争,きょうそう,competition
兄弟,きょうだい,siblings,近所,きんじょ,neighbourhood,工夫,くふう,devising
共通,きょうつう,common・shared,緊張,きんちょう,nervous・tension,区別,くべつ,distinction
共同,きょうどう,cooperation,技術,ぎじゅつ,technology・technique,苦労,くろう,trouble・labour
興味,きょうみ,interest,牛乳,ぎゅうにゅう,cow's milk,訓練,くんれん,training・drill
協力,きょうりょく,cooperation,銀行,ぎんこう,bank,具合,ぐあい,condition
去年,きょねん,last year,空気,くうき,air・atmosphere,経営,けいえい,management
距離,きょり,distance,空港,くうこう,airport,計画,けいかく,plan
記録,きろく,record,草木,くさき,vegetation・plants,敬語,けいご,honorific
禁煙,きんし,non-smoking,草花,くさばな,flowering plant​,警察,けいさつ,police
禁止,きんし,prohibition,果物,くだもの,fruit,計算 ,けいさん,calculation
経済,けいざい,economy,喧嘩,けんか,quarrel,現金,げんきん,cash
携帯,けいたい,carrying,見学,けんがく,inspection・field trip,言語,げんご,language
経由,けいゆ,going via・going through,研究,けんきゅう,research,原稿,げんこう,manuscript・draft
今朝,けさ,this morning,検査,けんさ,inspection,現在,げんざい,the present
