Words,Reading,M1,M2,M3,S1,T1
まあまあ,maamaa,"na-adj. so-so, not bad","adv. fairly, moderately",,レポートの出来はまあまあだった。,The result of the report was not bad.
動揺する,douyou suru,n. unrest,v. be agitated,,彼女は激しく動揺した。, She was violently agitated.
一段,ichidan,n. one step,,,本堂は一段高い場所にある。,The main building is located one level higher. 
相次ぐ,aitsugu,v. happen one after another,,,不可解な事件が相次いでいる。,Mysterious incidents are happening one after another.
免れる,manugareru,"v. escape, avoid",,,最悪の事態は免れた。,We avoided the worst situation.
略,ryaku,"n. omission, abbreviation",,,ユネスコが何の略か知っていますか。,Do you know what UNESCO stands for?
気楽,kiraku,"na-adj. comfortable, easy, easygoing",,,彼女は気楽に話ができる友達だ,She is a friend that I can talk with comfortably.
来週,raishuu,n. next week,,,来週から学校が始まる。,School starts next week.
三千円,sanzen en,n. three thousand yen,,,このシャツは三千円です。,This shirt costs three thousand yen.
示唆する,shisa suru,n. suggestion,v. suggest,,彼の発言は示唆に富んでいた。,His remarks were full of suggestions.
しみじみ,shimijimi,"adv. keenly, heartily, from one’s heart",,,彼女の親切さをしみじみと感じた。,I felt deeply how kind she was.
詩人,shijin,n. poet,,,彼は有名な詩人だ。,He is a famous poet.
署名する,shomei suru ,n. signature,v. sign,,千人の署名を集めた。,"We collected the signatures of 1,000 people."
給付する,kyuufu suru,n. provision,v. provide,,失業保険の給付を受けた。,I was provided with unemployment insurance.
柿,kaki,n. persimmon,,,柿を食べた。,I ate persimmons.
二日目,futsu-ka-me,n. second day,,,プログラムの二日目は大変よかった。,The second day of the program was very good.
診察する,shinsatsu suru,"n. medical examination, consultation",v. examine,,専門医の診察を受けたほうがいいだろう。,You’d better consult the specialist.
ハム,hamu,n. ham,,,ハムのサラダを作った。,I made a ham salad.
悪魔,akuma,"n. devil, demon",,,彼は悪魔のような人だ。,He is a fiendish person.
にらむ,niramu,v. stare,,, 知らない人がこちらをにらんでいる。,A stranger is staring at me.
