Concept,Sentences,Translation,Meaning,Structure
ばこそ,社長は親切であればこそ十万円くれたのだ,The president has given me 100.000 yen because he is good,only because,⚭ Vba + koso
ばこそ,優勝できたのは、チーム全員の協力あればこそだ,We could only win because of our teamwork,only because,⚭ Vba + koso
ばそれまでだ,この機械は水に弱い。水がかかればそれまでだ,This machine is not water-resistant. It will be broken if you spill water on it,if… then it's over,⚭ Vba + soremade da
ばそれまでだ,どんなに美しい花でも、散ってしまえばそれまでだ,"No matter how beautiful flowers are, when they start to scatter it's over",if… then it's over,⚭ Vba + soremade da
 べからず・べからざる,ここまで来るはよいが、先へ進むべからず,"You may come this far, but no farther",must not; should not; do not,⚭ Vdict + bekarazu/bekarazaru
 べからず・べからざる,関係者以外立ち入るべからず,Authorized personnel only,must not; should not; do not,⚭ Vdict + bekarazu/bekarazaru
 べからず・べからざる,芝生に立ち入るべからず,Don't enter the lawn,must not; should not; do not,⚭ Vdict + bekarazu/bekarazaru
べく・するべく・すべく,彼はサッカー選手になるべく、毎日厳しい練習をしている,He's been practicing hard every day in order to become a soccer player,in order to; for the purpose of; must; should,"⚭ Vdict + beku, suru → surubeku/subeku"
べく・するべく・すべく,ウイルスの感染経路を明らかにすべく調査が行われた,"In order to find the source of infection, an investigation is being carried out",in order to; for the purpose of; must; should,"⚭ Vdict + beku, suru → surubeku/subeku"
 べくもない・すべくもない,それは、否定すべくもない,No point denying it,can’t/cannot possibly be,"⚭ Vdict + bekumonai, suru → subekumonai"
 べくもない・すべくもない,いまのままでは、状況の改善は望むべくもない,We can't expect the situation to improve at this rate,can’t/cannot possibly be,"⚭ Vdict + bekumonai, suru → subekumonai"
 べくもない・すべくもない,土地が高い東京では、家などそう簡単に手に入るべくもない,You can't find a house easily in an expensive place like Tokyo,can’t/cannot possibly be,"⚭ Vdict + bekumonai, suru → subekumonai"
 べくもない・すべくもない,主力が抜けているので、優勝は望むべくもない,"Without our main force, we can't expect to win",can’t/cannot possibly be,"⚭ Vdict + bekumonai, suru → subekumonai"
 ぶり・っぶり・っぷり,みんな申し分のないほどの緊張ぶりである,I can't complain of anyone's lack of attention,"style, manner",⚭ Vnoun-stem + buri/bburi/ppuri
 ぶり・っぶり・っぷり,社長の話しぶりでは、今年のボーナスはないようだ,"According to what the president told us, there may not be a bonus this year","style, manner",⚭ Vnoun-stem + buri/bburi/ppuri
だに,思い出すだに怒りで熱くなる,The memory of it makes me feel hot with anger,even,⚭ Vdict + dani
だに,いま往時を回想するだに暗然たるものあり,I feel sick just thinking about those days,even,⚭ Vdict + dani
ない,日本語が分からない,I don't understand Japanese,"do not, will not (informal negative)",⚭ Vneg-stem + nai → Vnai
ない,日本食は食べないです,I don't eat Japanese food,"do not, will not (informal negative)",⚭ Vneg-stem + nai → Vnai
ない,お金がないです,I have no money,"do not, will not (informal negative)",⚭ aru → nai
ないで,宿題をしないで学校に出かけてしまいました,I left for school without doing my homework,"without doing, without having done",⚭ Vneg-stem  + naide → Vnaide
ないでください,ここでタバコを吸わないでください,Please don't smoke in here,please don’t (negative request),⚭ Vneg-stem  + naide kudasai → Vnaide kudasai
なかった,英語がわらなかった,I didn't understand English,in-formal past negative,⚭ Vneg-stem  + nakatta → Vnakatta
なかった,お友達は昨日来なかったです,Your friend didn't show up yesterday,in-formal past negative,⚭ Vneg-stem  + nakatta → Vnakatta
なかった,お金がなかったです,I didn't have any money,in-formal past negative,⚭ Vneg-stem  + nakatta → Vnakatta
