Words,Reading,Meaning,Sentence,Translation
地球規模,ちきゅうきぼ,global scale,地球規模で深刻化する水の問題。,Water problems are becoming more serious on a global scale.
温暖化,おんだんか,warming,温暖化のスピードのほうがずっと速い。,The speed of global warming is much faster.
地球温暖化,ちきゅうおんだんか,global warming,今後、地球温暖化もますます加速される。,Global warming will also accelerate in the future.
海洋,かいよう,ocean,ロブスターは海洋動物の一種に属します。,Lobsters belong to a class of marine animals.
生産性,せいさんせい,productivity,社長は従業員に生産性を高めるように命じた。,The president ordered his employees to increase productivity.
正常値,せいじょうち,normal value,正常値までもう少し。,A little more rise to the normal level.
範疇,はんちゅう,category,彼らはその範疇に属さない。,They do not belong to that category.
常識,じょうしき,common sense,地球が自転しているのは常識だ。,It is common knowledge that the earth rotates on its axis.
潜在的,せんざいてき,"latent, potential",その潜在的な影響力はいくら評価してもし過ぎることはない。,Its potential influence cannot be over-estimated.
短期間,たんきかん,short time,外国語を短期間に習得することはほとんど不可能だ。,It is almost impossible to learn a foreign language in a short time.
精神的,せいしんてき,"mental, spiritual, emotional​",彼の病気は主に精神的な物だった。,His illness was primarily psychological.
利き酒,ききざけ,sake tasting,利き酒は酒の品質を評価すること。,Tasting sake is to evaluate the quality of sake.
競演,きょうえん,"contest, competition",いわゆる賢い財政支出の競演である。,It is a competition of so-called smart fiscal spending.
原材料,げんざいりょう,"raw materials, ingredients",コンポーネントや原材料の追跡にも理想的です。,It is also ideal for tracking components and raw materials.
血液凝固,けつえきぎょうこ,"blood clotting, blood coagulation",血液凝固調節物質のスクリーニング方法。,Screening method for blood coagulation regulators.
血液凝固因子,けつえきぎょうこいんし,blood coagulation factor,活性化血液凝固因子阻害剤。,Activated blood coagulation factor inhibitors.
血液凝固能 ,けつえきぎょうのう,blood clotting ability ,血液凝固能検査を受けてください。,Undergo a blood coagulability test.
領収書,りょうしゅうしょ,"simplified receipt, hand-written receipt",必ず領収書をもらいなさい。,Be sure to ask for a receipt.
処理,しょり,"processing, dealing, treatment",この問題を処理しなくてはならない。,We have to deal with this issue.
受付時間,うけつけじかん,"reception hours, opening hours",受付時間とイベントの開始時間を明記しましょう。,Indicate the time of registration and the start time of the event.
放課後,ほうかご,after school ,彼らは放課後野球をするつもりです。,They intend to play baseball after school.
表示,ひょうじ,"indication, display",表示価格には消費税は含まれておりません。,The prices shown do not include consumption tax.
壊れ物,こわれもの,"fragile article, breakables",すべての壊れ物にラベルを貼る。,Label all breakables.
受験票,じゅけんひょう,admission ticket for an examination,受験票で通知します。,You will be notified by your examination voucher.
願書,がんしょ,"application, petition",彼は事務所に願書を提出した。,He submitted his application to the office.
発送,はっそう,"sending, forwarding, shipping",発送手数料は製品料から差し引かれます。,Shipping and handling charges will be deducted from product charges.
照会状,しょうかいじょう,letter of inquiry,彼は取引先に照会状を書いた。,He wrote a letter of inquiry to his business partners.
待遇改善,たいぐうかいぜん,improvement of labor conditions,料理人の待遇改善もしなくてはいけないと思っています。,I also believe that we must improve the treatment of our cooks.
探検隊,たんけんたい,expedition team,探検隊は大きなジャングルを通り抜けた。,The expedition passed through a large jungle.
寒気,さむけ,"chill, shivers, coldness",彼女は寒気を防ぐために厚いコートを着ていた。,She wore a thick coat to protect her from the cold.
騒音,そうおん,noise,そのエアコンは騒音が多すぎる。,The air-conditioner makes too much noise.
思い切り,おもいきり,to one's heart's content,皆一緒に思い切り遊びましょう！,Let's all play together to the fullest!
駐車違反,ちゅうしゃいはん,parking violation,彼は駐車違反で罰金をとられた。,He was fined for a parking ticket.
罰金,ばっきん,"fine, penalty",つばをはいた罰金は５ポンドです。,The fine for spitting is 5 pounds.
多様性,たようせい,"diversity, variety",早い開花期の多様性。,Diversity of early flowering periods.
自然淘汰,しぜんとうた,natural selection,自然淘汰によって自然は進化するんです。,Nature evolves through natural selection.
通信回線,つうしんかいせん,communication line​,コンピュータシステムでコンポーネント間のデータ転送に使われる通信回線。,A communication line used to transfer data between components in a computer system.
出力,しゅつりょく,"output (electrical, signal, etc.)",標準出力にバージョン情報を出力して正常終了する。,Output version information to standard output and exit normally.
詳細,しょうさい,"details, particulars, specifics",この事を詳細に説明する時間がありません。,I do not have time to explain this in detail.
細菌,さいきん,"bacterium, bacteria, germ",それは細菌感染に有効だ。,It is effective against bacterial infections.
細心,さいしん,"meticulous, careful, discreet",ほんの些細なことにも細心の注意を払わなければならない。,We must pay close attention to even the smallest details.
零細,れいさい,insignificant,零細な小売業者。,Small retailers.
明細,めいさい,"details, particulars, specifics",明細を教えていただけますか。,Can you give us the specifics?
細工,さいく,"work, workmanship, craftsmanship",ラバーグリップを採用した本格細工用アートナイフです。,This is an art knife for authentic craftsmanship with a rubber grip.
微細,びさい,"minute, micro, detailed, delicate",空気中の微細な粒子が癌を引き起こすことがある。,Fine particles in the air can cause cancer.
容量,ようりょう,"capacity, volume",タンクの容量は５０ガロンだ。,The tank capacity is 50 gallons.
分量,ぶんりょう,"amount, quantity",その作り方の分量は六人分です。,The quantity of the recipe is for six servings.
力量,りきりょう,"ability, capacity, capability, talent",彼には社長になれるような力量はない。,He does not have the competence to be president.
減量,げんりょう,"loss in weight, loss in quantity",これはあなたの減量に役立つ良い運動です。,This is a good exercise to help you lose weight.
収量,しゅうりょう,"yield, size of harvest",戦術的収量の効果は戦略的であろう。,The effect of tactical yield would be strategic.
量産,りょうさん,mass production,試作から量産までの時間が短縮できます。,Shorten the time from prototype to mass production.
計量,けいりょう,"measuring, weighing",計量する前にすりきりしなさい。,Level off the sugar when measuring out.
降水量,こうすいりょう,amount of precipitation,今夏の降水量は普通でなかった。,Precipitation this summer was not normal.
適量,てきりょう,"proper quantity, suitable amount",子供のための適量そして処置は異なっています。,Dosage and treatment for children are different.
音量,おんりょう,sound volume,できるだけ小さな音量で使用してください。,Use the lowest volume possible
耐久性,たいきゅうせい,durability,優れた切れ味と耐久性をお試しください。,Try the superior sharpness and durability.
深刻化,しんこくか,becoming more serious,廃棄物問題の深刻化です。,The waste problem is becoming more serious.
理想的,りそうてき,ideal,暖かくて晴れた日はピクニックに理想的だ。,"Warm, sunny days are ideal for picnics."
追跡,ついせき,"chase, pursuit, track",安全なウェブベースの追跡技術を介した継続的な貨物モニタリング。,Continuous cargo monitoring via secure web-based tracking technology.
調節,ちょうせつ,"regulation, adjuctment, control",各ポート流量調節バルブ付き。,With flow control valve for each port.
