L5,L4,L3,L2,L1
日本人ですか。,昨日東京に来たと彼は言った。,私の好みにぴったり合う。,軍隊は川のところまで進出した。,彼はタフな野郎だった。
人がいる。,僕は言語を勉強するのが好きだ。,合わせていくらになりますか。,彼は軍事予算を増大させようとした。,家の子郎党。
わたしは人間です。,言葉にできない。,天気の具合が思わしくない。,軍備が整っている。,次の曲を新郎と新婦に捧げたいと思います。
一つえらんで。,手に何をもっていますか。,その家の内部はとても魅力的だった。,その命令に嫌々従う兵もいた。,彼女は銀行員と結婚した。
一にち。,彼が私のコピーを手伝ってくれた。,値段は全部同じなんですか？,兵器にあまりお金を使うべきではない。,やってはみるが結果は約束できない。
わたしは一人じゃない。,私のところに手紙が来ていますか。,誰も部長をごまかせません。,激しい戦いが兵士によってなされた。,このバス路線は２都市を結んでいる。
日なにしましたか。,自分でピアノを弾きながら歌う。,,,
ながい一日がすぎた。,この車を自由にお使い下さい。,,,
今日なにしようかな。,私は合格する自信がある。,,,
このビルはとても大きい。,医者にかかる必要がある。,,,
わたしは大学へいきたい。,数名の食中どく患者が出た。,,,
大切なはなしがあるんです。,あなたの大好きな役者はだれですか。,,,
年はおいくつですか。,仕事に行きたくない。,,,
今年はあめがおおかった。,事故というのは起こるものだ。,,,
かれは毎年かいがいへいく。,それは一番大事なことです。,,,
ベッドから出たくない。,彼なら信用できると思っていた。,,,
ノートを出して下さい。,思考は言葉によって表現される。,,,
出口はどこですか。,我々は言語で意思を伝える。,,,
この本は四ドルした。,昔の友達に会いに行った。,,,
これが本日のおすすめりょうりです。,会計の窓口はどこですか。,,,
本棚に本をならべる。,出来るだけ早急に会談の手配をして欲しい。,,,
日本中をたびする。,ご家族はいかがですか。,,,
へやの中央にたっていた。,僕は仕事より家庭の方が大事だ。,,,
ここにむかっている途中です。,あの部屋には家具が全然なかった。,,,
子供にでもそれはできる。,抽象的な思想を具体的に述べる。,,,
女の子のようなしぐさ。,彼の答えは的確だ。,,,
男の子らしいいたずら。,彼は知的な人です。,,,
テレビ見てるのですか。,彼はどっちの方向へ行きましたか。,,,
それについてのあなたの意見はなにですか。,運転の仕方を知っているの？,,,
ほかのを見せてください。,あの人たちが昨日あなたが会った方々ですか。,,,
ポーランドは大きな国だ。,この地域は雨が続くでしょう。,,,
外国へ行ったことがありますか。,昨日遊園地でばったり先生に会ったよ。,,,
アメリカ国民になった。,君はなかなか地理に明るいな。,,,
テーブルの上にコップがある。,私はプレゼントを買う目的でデパートへ行った。,,,
バッテリーが上がってしまった。,大学に入っていることが私の人生の目標ではない。,,,
テレビのボリュームを上げないでください。,どちらを選ぶのかを決めるのはあなたの役目だ。,,,
わかりましたか。,その工場は来年から製造をはじめる。,,,
おおざっぱに分ける。,駐車場が見つからなかったんだ。,,,
そんな気分じゃなかったんだ。,広場で野球をするのはどうでしょうか。,,,
この食べものは生だ。,私は現代の音楽はあまり好きではない事を認めます。,,,
わたしたちは生きるために食べる。,彼はクラスを代表して会場に出た。,,,
どこで生まれましたか。,私たちは大阪まで交替で運転した。,,,
ピクニックに行かない。,私立の学校はどういう感じですか。,,,
旅行することがすきですか。,この本棚の辞書はすべて私用です。,,,
われわれは飛行機でニューヨークへ行った。,私見によればあの人は立派な学者です。,,,
二時間ここにいます。,相互に独立対等の関係に置かれている。,,,
バニラアイスクリームを二つ下さい。,ハンバーガーを立って食べる。,,,
二人のガールフレンドがいる。,彼女と私とでは立場が違う。,,,
本の間にしおりをはさむ。,動物に食べ物を与えないでください。,,,
お時間わかりますか。,彼女は買い物が好きだ。,,,
昼間のうちにかえっていらっしゃい。,当市では諸物価が高い。,,,
一時ボストンにすんでいた。,油田を発見する。,,,
そのしごとにはどれだけの日時がかかったのか。,田舎は空気がきれいだ。,,,
時計がはたらいている。,田に稲の苗をを植える。,,,
気に入ってます。,体温が平熱まで上がった。,,,
元気ですよ。,体育を奨励する。,,,
かれは病気だったらしい。,体積を求める。,,,
わたしには子どもが十人いる。,絶えず彼の行動に注意していた。,,,
おかねは十分にあります。,私が戻って来るまでここを動くなよ。,,,
学校は四月十日からはじまります。,人口の移動。,,,
女みたいな高いおと。　,建設会社に入社する。,,,
そんな女性を見たことがなかった。,銭湯は近所の社交場だ。,,,
このしゃしんのなかの少女はだれですか。,土曜日には出社する必要がありません。,,,
このしごとは三時間かかった。,広く知識を求める。,,,
かれらはいま三人の子供がいる。,この辺はよく知っている。,,,
これを三つください。,彼にはそうするだけの知恵がなかった。,,,
前はよくピザを食べていました。,食卓に料理を並べる。,,,
以前お会いしたことがありますか。,芸術作品を理解する。,,,
あなたの名前は何ですか。,当分の間代理を置く。,,,
クラブに入りませんか。,彼らは皆同じ制服を着ている。,,,
コーヒーを入れましょう。,彼女は彼に少しだけ同情した。,,,
彼はその学校に入学をきょかされた。,私も同様の境遇です。,,,
小さいことにこだわるな。,期待で心臓がどきどきした。,,,
この小説はあれよりずっと面白い。,あの人になら安心して金を預けられるよ。,,,
ここにもとは小学校があった。,れは心配するほどのことではない。,,,
後について行く。,彼の名前を誤って発音してしまった。,,,
すぐ後ろにいるよ。,学校は募集要項を発表した。,,,
午後はどうだった？,しばらく出発を見合わせる。,,,
これは長すぎます。,そこは作戦上重要な地点である。,,,
校長が先生の後ろから入ってきた。,この工場ではカメラを作っている。,,,
この会社の社長はだれですか。,食卓での作法を守る。,,,
彼は車の下から出てきた。,その考えのどこが新鮮なのか。,,,
その人に会ってみてください。,設備がすっかり新しくなった。,,,
下がってよろしい。,新たな緊張を必要とする。,,,
このいっけんには大いに学ぶところがあった。,彼は世界的に有名だ。,,,
学校に行きたいんです。,所帯を持っている。,,,
彼は大学に行くひつようがある。,世紀の大事件。,,,
新しい月もでてきました。,・制度の運用にあたり例外規則を設ける。,,,
今月いっぱいここにいます。,速度の遅い車を追い越した。,,,
私たちは来月日本をはなれます。,湿度が低ければ暑さもしのぎやすい。,,,
何を見ているのか。,事件の詳しい説明を聞きたい。,,,
ほんとうに何も食べるものがないの？,明るい通りを通る。,,,
なんでこんなとこで寝てるの？,建物を照明で照らし出す。,,,
明日きゃくが二人来る。,遠泳は現在の君の体力では無理だ。,,,
この国に将来があるのでしょうか。,蒸気の圧力でボイラーが破裂した。,,,
以来ずっと友人です。,日没までに仕事を終えようと努力した。,,,
コーヒーを飲みながら話しましょう。,意志に反してそれをせざるを得なかった。,,,
人と会話をする。,彼は３時間後に意識を回復した。,,,
われわれはその問題について話し合った。,彼は両親の意思に背いて結婚した。,,,
山にトンネルをとおす。,費用を出しあって会を開いた。,,,
火山がふんかした。,その機械は広く用いられている。,,,
彼は登山になれている。,この表現は今では広く使用されている。,,,
そのピアノは高い。,日本人は米を主食とする。,,,
高校が同じです,その組織は開業医が主体となっている。,,,
最高のアイディアだよ。,その地主は以前かなり裕福な暮らしをしていた。,,,
やるなら今だよ。,駅とお寺の間にバスが通っている。,,,
今朝彼女に何がおきたのですか。,自転車で通学する。,,,
今回問題になってるのは何？,この通りは交通が激しい。,,,
ペンで書いて下さい。,この文は文法的に正しい。,,,
彼はいつも読書している。,文学を志して東京に出てきた。,,,
図書館にはたくさんの本があります。,大学に学位論文を提出する。,,,
この人は目が見えなくなって五年になる。,彼は本屋をやっている。,,,
この箱にはりんごが五つ入っている。,ビルの屋上から道路を見下ろした。,,,
彼は五日にいちどここへ来ます。,ホテルに部屋を取ってある。,,,
京都にはたくさんの名所がある。,職業を身につける。,,,
このちほうの名物は何ですか。,企業の会計制度を国際化する。,,,
有名なブランドですね。,国内の商業振興をはかる。,,,
やっと金曜日ですよ。,ご注文の本を持参しました。,,,
私は現金でしはらいます。,どれでもお好きなのをお持ちください。,,,
その靴の代金を払いましたか。,患者に生命維持装置が取り付けられた。,,,
二人の男はバーで飲んでいた。,彼女のテニスは道具ばかり立派だな。,,,
彼女は昨日背の高い男の人に会いました。,道路を建設する。,,,
男性の名前は何ですか。,どの道順がいちばん早いですか。,,,
私は今は外へ出たくない。,彼は頑固な独身主義者だ。,,,
海外に旅行する。,大阪のご出身ですか。,,,
午後なら外出できます。,この箱の中身は何ですか。,,,
私は彼に四ドルをしはらった。,この辺は交通が不便だ。,,,
ベッドが四つある部屋にくらす。,材料が不足してきた。,,,
四人でえらぶゲームです。,我々の不利な点は資金不足だ。,,,
私を先にしてください。,だれが水道の蛇口を開けっ放しにしておいたのか。,,,
彼は高校の先輩です。,いかにも利口そうだ。,,,
先生が入ってきた。,メッセージは口頭で伝えられた。,,,
私と一緒に川に行かない？,海外旅行へ出かける学生が多くなってきた。,,,
私の家の近くを小川がながれている。,目方の多少に関係なく無料で配達いたします。,,,
川岸のけいかんは美しくれきしてきです。,この語には多様な意味がある。,,,
東はどの方向なの？,野菜を添える。,,,
日本の東京からきました。,遠くを眺めていたら車が一台視野に入ってきた。,,,
家の東側に大きな木がある。,彼は山で道に迷って野宿した。,,,
私の言うことをよく聞きなさい。,眠くて思考力が低下してきた。,,,
女の子が歌うのが聞こえた。,返事をする前によく考えさせてください。,,,
今日の新聞はどこ。,この書類は後の参考のために取っておいた。,,,
あなたは日本語を話しますか？,昨日両都市間のバス運行が開始された。,,,
彼は英語を少し話します。,窓は開けておいてください。,,,
彼は音楽について語った。,そのホールは一般に開放されている。,,,
学校は九時からはじまります。,生花教室は若い女性に人気がある。,,,
九つのココナッツを食べました。,このクッキーの作りかたを教えてください。,,,
来てから九日よね？,家庭教師に子供の教育を託する。,,,
私たちはよく一緒に食事するんだ。,近所で昨夜火事があった。,,,
食堂はどこですか。,うちに一番近い駅は渋谷だ。,,,
それを食べたくありません。,それは近視眼的な政策だ。,,,
しごとは八時までにはおわるだろう。,このトラックは４トン以上は積めない。,,,
うちの子は八つです。,外気は摂氏10度以下に下がった。,,,
ろじょうには小さな八百屋が出ていた。,本校生徒以外は校外に出てください。,,,
シャワーの水が出ません。,数学の問題を解く。,,,
彼はとりわけ水泳が好きです。,これは極めて深遠な問いです。,,,
水道がでています。,その問題について賛否を問うべきだ。,,,
すばらしい天気だった。,私の言った事を正確に彼に伝えて欲しい。,,,
私の弟は天才です。,君の判断は正しい。,,,
天候がかいふくするのを待つ。,君の正直な気持ちが聞きたい。,,,
その木はとても高くなった。,この写真はとてもよく撮れてる。,,,
母はこの前の木曜日からずっと病気です。,少女たちは運動の後で真っ赤な顔をしていた。,,,
並木のある歩道。,容器を真空に保つ。,,,
私は六年間英語を勉強している。,彼は僕の言ったことの意味を取り違えた。,,,
六つのちいきに分かれている。,パーティーでいろんな珍味を味わった。,,,
六日の間そのようにした。,いいにおいが味覚をそそった。,,,
この時計は一万円だった。,それは私達の知識の限界を越えている。,,,
この料理にも合う万能ワイン。,この川が二つの県の境界になっている。,,,
彼のまんがは万人向きだ。,業界を再編成する。,,,
白いドレスはありますか。,ここではお茶の無料サービスがある。,,,
告白されたことある？,人間の欲望は無限だ。,,,
彼の真っ白な家はそのとおりで最もめだつ家だ。,彼に大金をかせげと言ったって無理な注文だ。,,,
私は七時に家を出た。,雨のため参会者はごく少数だった。,,,
パターンは七つの内の一つです。,このやり方の方が危険が少ない。,,,
彼女は七人も子供がいる。,この地方には造り酒屋が少しある。,,,
このテープレコーダーは４万円しました。,海岸で日光浴をする。,,,
円高になるとゆしゅつにブレーキがかかる。,海峡を渡る。,,,
円柱上に作られた。,海辺をそぞろ歩きする。,,,
私は電話で彼と話しました。,子育てで大切なのは子育てを楽しむ心だ。,,,
私は電車で家に帰った。,包丁で指先を切った。,,,
電気をつけて下さい。,お嬢様がご親切にも駅まで迎えに来てくださいました。,,,
父は中国へ行ってしまった。,,,,
父親らしくない。,,,,
祖父はいつもこのいすに座る。,,,,
その町はロンドンのすぐ北にある。,,,,
私は夏に北海道に行きます。,,,,
中野駅の北口を出て面白いことを見つけよう。,,,,
私は車を買うことにした。,,,,
あの町は列車の便が悪い。,,,,
駐車場が見つからなかったんだ。,,,,
私は母が大好きです。,,,,
彼女は私に母親のようにしてくれる。,,,,
私の祖母はオートバイに乗れる。,,,,
メロンが半分食べられた。,,,,
あの半島はいい風景が多い。,,,,
半径5 センチの円を描く。,,,,
チケットは百ユーロだ。,,,,
この川は数百マイルもつづいている。,,,,
せっかくだから百均に行こうか。,,,,
かれは土に水をやった。,,,,
彼は土地をすべて売った。,,,,
この家は土台がしっかりしている。,,,,
彼らは西の方へ向かった。,,,,
彼は６月に東京をはなれて関西に来る。,,,,
駅はホテルの西側です。,,,,
食べながら読んではいけません。,,,,
それを解読できる？,,,,
秒読みはやく1週間以内に始まります。,,,,
飛行していが八千メートル以上であること。,,,,
これはそれに比べて千倍の大きさがある。,,,,
千円札くずれますか。,,,,
私は彼に私たちの学校のことを話した。,,,,
校舎内では走ってはいけません。,,,,
きみは高校生ですか。,,,,
入口を入ってすぐ右に。,,,,
左右を見る。,,,,
最初に右手を出しなさい。,,,,
南駅はどこですか？,,,,
右下に新宿駅南口が見えます。,,,,
彼の家は川の南側にある。,,,,
左を向いてください。,,,,
窓が左手にあります。,,,,
車は急に左折した。,,,,
友人は少ししかいない。,,,,
友達が欲しい。,,,,
バスで旧友にばったり会った。,,,,
夜は雨になるらしい。,,,,
大雨のため私たちは出かけられなかった。,,,,
雨具をお持ちになりましたか。,,,,
ガソリンはひじょうに火がつきやすい。,,,,
部屋で火災が起きた。,,,,
昨日の花火見た？,,,,
毎晩そのことについてぎろんした。,,,,
毎度ごひいきにありがとうございます。,,,,
私は毎朝銀座で地下鉄に乗る。,,,,
ゆっくり休んでね。,,,,
休日を楽しみなさい。,,,,
休暇はどうでしたか。,,,,
私は午後を寝て過ごした。,,,,
彼女は午前７時に起きる。,,,,
母は午前中病院に行きます。,,,,
