Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
言,"GEN, GON","i, koto","say, word",言う,いう,to say,言語,げんご,language,言葉,ことば,"word, language"
手,SHU,te,hand,手,て,hand,手伝う,てつだう,to help,手紙,てがみ,letter
自,"JI, SHI",mizuka,self,自分,じぶん,oneself,自由,じゆう,freedom,自信,じしん,confidence
者,SHA,mono,person,医者,いしゃ,doctor,患者,かんじゃ,patient,役者,やくしゃ,"actor, actress"
事,JI,koto,thing,仕事,しごと,work,事故,じこ,accident,大事,だいじ,important
思,SHI,moo,think,思う,おもう,to think,思考,しこう,"thought, consideration",意思,いし,intention
会,"KAI, E",a,meet,会う,あう,to meet,会計,かいけい,"accounting, finance",会談,かいだん,talks
家,"KA, KE","ie, ya",house,家族,かぞく,family,家庭,かてい,"home, household",家具,かぐ,furniture
的,TEKI,mato,target,目的,もくてき,"purpose, goal",的確,てきかく,precise,知的,ちてき,intellectual
主,SHU,"nushi, omo","main, master",主人,しゅじん,husband,主食,しゅしょく ,staple food,主任,しゅにん ,person in charge
方,HOU,kata,"way, direction, person",方向,ほうこう,"direction, course",仕方,しかた,"way, method, means",方々,かたがた,"people, persons"
地,"CHI, JI",.,"earth, ground, land",地域,ちいき,"area, region",遊園地,ゆうえんち,amusement park,地理,ちり,geography
目,MOKU,me,eye,目的,もくてき,"purpose, goal",目標,もくひょう,"goal, target",役目,やくめ,"duty, role, function"
場,JOU,BA,place,工場,こうじょう,factory,駐車場,ちゅうしゃじょう,parking lot,広場,ひろば,"public square, plaza"
代,"DAI, TAI","ka, yo, shiro","substitute, replace, change",現代,げんだい,"present age, today",代表,だいひょう,representation,交代,こうたい,"alternation, change"
私,SHI,"watch, watakushi","i, me",私立,しりつ,private establishment,私用,しよう,personal use,私見,しけん,personal opinion​
立,RITSU,ta,stand,独立,どくりつ,independence,立つ,たつ,"to stand up, rise",立場,たちば,"position, situation"
物,"BOTSU, MOTSU",mono,"thing, object",動物,どうぶつ,animal,買い物,かいもの,"shopping, purchased goods",植物,ぶっか,prices of commodities
田,DEN,ta,"field, paddy",油田,ゆでん,oil field​,田舎,いなか,"rural area, countryside",田んぼ,たんぼ,paddy field
体,"TAI, TEI",karada,body,体温,たいおん,body temperature,体育,たいいく,physical education,体積,たいせき,"capacity, volume"
通,TSUU,"too, kayo","go through, pass through",通る,とおる,"go by, go through",通学,つうがく ,commuting to school,交通,こうつう ,"traffic, transportation"
強,"KYOU, GOU","tsuyo, shi",strong,強い,つよい,"strong, potent, competent",勉強,べんきょう ,study​,強める,つよめる,"to strengthen,  to emphasize"
使,SHI,tsuka,"use, errand, mission",使う,つかう,to use,使用,しよう ,"use, application",大使,たいし,ambassador
文,"BUN, MON",fumi,"letter, text, sentence",文法,ぶんぽう,grammar,文学,ぶんがく,literature​,論文,ろんぶん,"thesis, essay, paper"
屋,OKU,ya,"house, shop, room",本屋,ほんや ,bookstore,屋上,おくじょう,"roof, rooftop",部屋,へや,room
朝,CHOU,asa,morning,朝,あさ,morning ,朝食,ちょうしょく ,breakfast ,今朝,けさ,this morning
題,DAI,.,"title, theme, topic ",問題,もんだい,"problem, question",宿題,しゅくだい,homework,表題,ひょうだい,"title, caption"
社,SHA,yashiro,"shrine, company, firm",社会,しゃかい ,"society, public",会社,かいしゃ ,"company, corporation​",社長,しゃちょう ,company president
理,RI,.,"reason, logic, principle",料理,りょうり ,"cooking, cuisine, meal",理解,りかい,"understanding, comprehension",代理,だいり ,"representation, agency"
同,DOU,ona,same,同じ,おなじ,"same, equal, identical",同情,どうじょう,"sympathy, compassion",同様,どうよう,"same, similar, like"
