Word,Reading ,Meaning
無い,ない,"not, no"
良い,よい,good
多い,おおい,many
高い,たかい,"high, expensive"
大きい,おおきい,big
悪い,わるい,bad
強い,つよい,strong
少ない,すくない,"small, little"
長い,ながい,long
新しい,あたらしい,new
早い,はやい,"early, fast"
甘い,あまい,sweet
若い,わかい,young
欲しい,ほしい,want
深い,ふかい,deep
近い,ちかい,near
小さい,ちいさい,small
難しい,むずかしい,difficult
凄い,すごい,terrific
面白い,おもしろい,interesting
広い,ひろい,wide
美しい,うつくしい,beautiful
白い,しろい,white
低い,ひくい,"low, short"
楽しい,たのしい,fun
嬉しい,うれしい,happy
酷い,ひどい,"cruel, unjust"
古い,ふるい,old
安い,やすい,cheap
美味しい,おいしい,delicious
正しい,ただしい,"right, correct"
詳しい,くわしい,detailed
激しい,はげしい,furious
怖い,こわい,scary
厳しい,さびしい,"severe, strict"
辛い,からい,"spicy, hot"
軽い,かるい,light
優しい,やさしい,kind
可愛い,かわいい,cute
重い,おもい,heavy
可笑しい,おかしい,funny
明るい,あかるい,bright
痛い,いたい,painful
赤い,あかい,red
短い,みじかい,short
暗い,くらい,dark
遅い,おそい,"slow, late"
弱い,よわい,weak
黒い,くろい,black
遠い,とおい,"far, distant"
薄い,うすい,thin
狭い,せまい,narrow
素晴らしい,すばらしい,wonderful
珍しい,めずらしい,rare
寂しい,さびしい,lonely
冷たい,つめたい,cold (touch)
寒い,さむい,cold (weather)
恐ろしい,おそろしい,frightening
忙しい,いそがしい,busy
細い,ほそい,"thin, slender"
恥ずかしい,はずかしい,embarrassed
悲しい,かなしい,sad
宜しい,よろしい,"good, fine"
濃い,こい,"thick, deep"
苦しい,くるしい,"painful, hard"
熱い,あつい,hot (thing)
細かい,こまかい,small
太い,ふとい,fat
偉い,えらい,great
速い,はやい,fast
鋭い,するどい,"sharp, keen"
青い,あおい,blue
仕方無い,しかたない,can’t be help
厚い,あつい,"thick, deep"
親しい,したしい,close
暑い,あつい,hot (weather)
幼い,おさない,childish
相応しい,ふさわしい,appropriate
久しい,ひさしい,"long, old"
有り難い,ありがたい,grateful
固い,かたい,"hard, tough"
物凄い,ものすごい,tremendous
懐かしい,なつかしい,"beloved, missed"
丸い,まるい,"round, circular"
貧しい,まずしい,"poor, needy"
硬い,かたい,"hard, solid"
著しい,いちじるしい,striking
きつい,きつい,"tough, hard"
怪しい,あやしい,suspicious
煩い,うるさい,"noisy, loud"
不味い,まずい,bad (taste)
温かい,あたたかい,warm
汚い,きたない,dirty
素早い,すばやい,"quick, swift"
望ましい,のぞましい,desirable
危ない,あぶない,dangerous
悔しい,くやしい,annoying
柔らかい,やわらかい,"soft, tender"
等しい,ひとしい,"equal, identical"
大人しい,おとなしい,obedient
暖かい,あたたかい,"warm, mild"
堅い,かたい,"hard, solid"
めでたい,めでたい,auspicious
軟らかい,やわらかい,"soft, tender"
浅い,あさい,shallow
凄まじい,すさまじい,fierce
黄色い,きいろい,yellow
情けない,なさけない,miserable
