Sentences,Translation
このあたりでは、4月から5月にかけていろいろな花が咲く。,"In this area, various flowers bloom during April and May."
台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,"Due to the typhoon, it rained heavily from last night to this morning."
この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.
ガス爆発で、彼は肩から腰にかけて大やけどを負った。,The gas explosion left him with severe burns on his shoulders and lower back.
ほこりだらけの部屋。,A dusty room.
泥だらけのくつ。,Muddy shoes.
数学の答案は間違いだらけだった。,His math papers were full of mistakes.
苦労した祖父の手は固くてしわだらけだ。,My grandfather's hands are stiff and wrinkled from his hard work.
山頂までの道は石ころだらけだ。,The path to the top of the mountain was strewn with stones.
父の部屋は本だらけで足の踏ふみ場ばもない。,My father's room was covered with books and there was nowhere to step.
仕事が早く済んだのは、友達が手伝ってくれたおかげだ。,The work was done quickly thanks to the help of his friends.
白髪が少ないおかげで若く見られることが多い。,"Thanks to my lack of gray hair, I am often seen as young."
医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, the average life expectancy has increased."
彼の言うことを信じたおかげでひどい目にあった。,"Thanks to believing what he said, I got into a terrible situation."
あの人のせいでみんなが迷惑している。,Everyone is in trouble because of that man.
景気が悪いせいでボーナスが減った。,My bonus has been reduced because of the bad economy.
試合に負けたのはミスをした私のせいだ。,It's my fault that we lost the game because I made a mistake.
大気汚染が悪化したのは、政府が何の対策も立てなかったせいだ。,The air pollution got worse because the government didn't do anything about it.
彼女は何でも人のせいにするから嫌われている。,She is hated because she blames others for everything.
気のせいか、最近父は元気がないようだ。,"Maybe it's my imagination, but my father seems to be in low spirits lately."
年のせいか、このごろ物忘れがひどい。,"Maybe it's his age, but he's been forgetting a lot lately."
このあたりは気候が温暖なせいか、のんびりしていて暮らしやすい。,"Perhaps it's because of the mild climate here, but it's easy to live in a relaxed atmosphere."
学生たちは、先生が黒板に書いたとおりにノートに写した。,The students copied their notes exactly as the teacher had written them on the blackboard.
外国語だと、なかなか思ったとおりに話すことができない。,"In a foreign language, it is difficult to speak as you expect."
父は、私たち家族が父の言うとおりにしないと、きげんが悪い。,My father was not in a good mood when we didn't do as he said.
勉強がなかなか予定どおりに進まない。,My studies did not go as planned.
幼い弟は思いどおりにならないと大声で泣く。,My younger brother cries loudly when he doesn't get his way.
例のとおりに書きなさい。,Write the story as in the example.
暗くならないうちに山を下りたい。,I want to go down the mountain before it gets dark.
祖父は元気なうちにいろいろな所へ旅行したいと言っている。,My grandfather wants to travel to many places while he is still alive.
明日は母の日だ。母が寝ているうちに朝ごはんを作って驚かせよう。,Tomorrow is Mother's Day. I will surprise my mother by making her breakfast while she is asleep.
10 代のうちに将来の目標を決めたいと思っている。,I want to set my future goals while I am still a teenager.
大事なことは忘れないうちにメモしておいたほうがいいですよ。,It's better to write down important things before you forget them.
テレビを見ているうちに寝ね てしまい、試験勉強ができなかった。,I fell asleep while watching TV and was not able to study for the exam.
切符を買っているうちに電車が出てしまった。,The train left while I was buying a ticket.
しばらく会わないうちに、その子はずいぶん大きくなっていた。,"It's been a while since I've seen him, but he's grown up a lot."
申し込み手続きに関してお伺いしたいのですが。,I would like to ask you about the application process.
パソコンで環境問題に関する記事を検索した。,I searched for an article on environmental issues on my computer.
議長は時間に関して厳しいので、絶対遅刻はできない。,"The chairperson is very strict about time, so I can never be late."
その件に関しましては、後ほどご説明いたします。,I will explain about that later.
バーゲンセールのたびに、つい要らないものまで買ってしまう。,"Whenever there is a bargain sale, I end up buying things that I don't need."
父は旅行のたびに、その土地の名産品をおみやげに買ってきてくれる。,"Whenever my father travels, he buys me local specialties as souvenirs."
辞書を引くたびに新しい発見がある。,"Every time I look up the dictionary, I find something new."
友人たちの活躍を聞くたびに、うれしく思う。,"Whenever I hear about the success of my friends, I feel happy."
今週はいつものテストに加えてレポート提出もあり、とても忙しい。,"In addition to the usual tests this week, I also had to submit a report, so I was very busy."
キムさんの作文は文法の間違いが少ないことに加え、主張がはっきりしていて読みやすい。,"Ms. Kim's essays are easy to read, with few grammatical errors and clear arguments."
日本経済は原油の値上がりに加え、急激な円高で低迷している。,The Japanese economy is in a slump due to the sharp appreciation of the yen in addition to the rising price of oil.
3月に電車賃が値上がりしたが、それに加え、4 月からはバス代が値上がりするそうだ。,"In addition to the increase in train fares in March, I heard that bus fares will also increase in April."
昼間に比べて深夜は電気料金が安い。,Electricity rates are lower late at night than during the day.
今年は例年に比べ、寒さが厳しいそうだ。,This year is said to be colder than usual.
女性のほうが男性に比べ平均寿命の長い国が多い。,Women have a longer average life expectancy than men in many countries.
私は話すのに比べて書く力が弱いんです。,I'm not as good at writing as I am at speaking.
私は大学で日本の歴史について勉強したい。,I want to study about Japanese history at university.
両親と卒業後の進路について話し合った。,I discussed with my parents about my future plans after graduation.
この記き事じについてのご意見をお聞かせください。,Please let me know what you think about this article.
新しい事業計画につき、これからご説明いたします。,I will now explain the new business plan.
