Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
軍,GUN,.,"army, troops",軍隊,ぐんたい,"army, armed forces, troops",軍事,ぐんじ,military affairs,軍備,ぐんび,armaments
兵,"HEI, HYOU",.,soldier,兵,へい,soldier,兵器,へいき ,"arms, weapon",兵士,へいし,soldier​
島,TOU,shima,island,島,しま,island,島国,しまぐに ,island country​,半島,はんとう,peninsula
村,SON,mura,village,農村,のうそん,farm village​,村人,むらびと,villager,漁村,ぎょそん,fishing village​
門,MON,kado,gate,正門,せいもん,main gate,専門家,せんもんか,"specialist, expert",部門,ぶもん,"division, branch, field"
戸,KO,to,door,戸籍,こせき,family register,瀬戸物,せともの,"earthenware, porcelain",戸棚,とだな,"cupboard, locker"
武,"BU, MU",.,military,武器,ぶき,"weapon, arms",武士,ぶし,"warrior, samurai",武装,ぶそう,"arms, armament"
城 ,JOU,shiro,castle,城内,じょうない,inside of a castle,古城,こじょう,old castle,城壁,じょうへき,castle wall
総 ,SOU,.,"general, whole",総会,そうかい,general meeting,総合,そうごう,"synthesis, combination",総額,そうがく,sum total
団,DAN,.,group,布団,ふとん,futon,集団,しゅうだん,"group, mass",団体,だんたい,"group, party"
線,SEN,.,line,直線,ちょくせん,straight line​,光線,こうせん,"beam, light ray",線路,せんろ,railway track
設,SETSU,mou,"establish, prepare",設計,せっけい,"plan, design",設立,せつりつ,"establishment, founding",設ける,もうける,"to prepare, provide, set-up"
勢,SEI,ikio,vigor,勢い,いきおい,"force, vigor, energy",勢力,せいりょく,"influence, power",姿勢,しせい,posture
党,TOU,.,"party, faction",政党,せいとう,political party,与党,よとう,ruling party,野党,やとう,opposition party
史,SHI,.,history,歴史,れきし,history,史上,しじょう,historical,史学,しがく,study of history
営,EI,itona,occupation,営業,えいぎょう,"business, trade",経営,けいえい,management,営む,いとなむ,"run a business, operate"
府,FU,.,"borough, govt office",府県,ふけん,"prefectures (Tokyo, Hokkaido)",府庁,ふちょう,"prefectural office (Osaka, Kyoto)",府立,ふりつ,"prefectural (Osaka, Kyoto)"
巻,KAN,"ma, maki","scroll, roll up, wind up",巻く,まく,"to wind, coil, roll, wear",巻末,かんまつ,end of a book,寝巻き,ねまき,"nightclothes, nightwear"
介,KAI,.,"shellfish, mediate",紹介,しょうかい,introduction,介入,かいにゅう,intervention,介抱,かいほう,"nursing, looking after"
蔵,ZOU,kura,storehouse,冷蔵庫,れいぞうこ,refrigerator,貯蔵,ちょぞう,"storage, preservation",大蔵,おおくら,Ministry of Finance
造,ZOU,tsuku,"produce, build, make",造園,ぞうえん,landscape gardening,造船,ぞうせん,shipbuilding,造成,ぞうせい,"development of land, preparation of ground"
煙,EN,"kemu, kemuri",smoke,禁煙,きんえん,"quitting smoking​, no smoking",煙突,えんとつ,chimney,煙たい,けむたい,smoky
静,SEI,shizu,quiet,安静,あんせい,"rest, quiet, repose",静かな,しずかな,quite,冷静,れいせい,"calmness, composure"
危,KI,"abu, aya",dangerous,危険,きけん,"danger, hazard",危機,きき,crisis,危ない,あぶない,dangerous
険,KEN,kewa,"inaccessible place, steep place",冒険,ぼうけん,adventure,探検,たんけん,"exploration, expedition",険しい,けわしい,"rugged, steep"
