Kanji,ON,KN,K.Meaning,Level,Words.A,Words.B,Words.C
日,NICHI・JITSU,hi・ka,day・sun,BGN,日記。日付。日付。明日。昨日。平日,祝日。先日。日光。日常。日時。来日,日程。当日。日帰り。日用品。日の出。日陰
月,GETSU・GATSU,tsuki,month・moon,BGN,先月。来月。今月。満月。年月。月末,月給。月謝。毎月。正月。月収。翌月,月並み。生年月日。同月。月間。月光。月夜
火,KA,hi,fire,BGN,火。火災。火山。花火。火事。防火,下火。火星。噴火。火薬。火傷。消火,山火事。火災保険。導火線。焚き火。火力。火器
水,SUI,mizu,water,BGN,水。水道。水泳。水素。香水。淡水,水分。水平。水源。水筒。洪水。潜水,降水。水準。下水。水曜日。水蒸気。海水浴
木,BOKU・MOKU,ki・ko,tree・wood,BGN,,,
金,KIN・KON,kane・kana,gold,BGN,,,
土,DO・TO,tsuchi,earth・soil・ground,BGN,,,
曜,YOU,,weekday,BGN,,,
一,ICHI・ITSU,hito,one,BGN,,,
二,NI,futa,two,BGN,,,
三,SAN,mi,three,BGN,,,
四,SHI,yo・yon,four,BGN,,,
五,GO,itsu,five,BGN,,,
六,ROKU,mu,six,BGN,,,
七,SICHI,nana・nano,seven,BGN,,,
八,HACHI,ya・you,eight,BGN,,,
九,KYUU,kokono,nine,BGN,,,
十,JUU,too・to,ten,BGN,,,
百,HYAKU,,hundred,BGN,,,
千,SEN,chi,thousand,BGN,,,
万,MAN・BAN,,ten thousand,BGN,,,
半,HAN,naka,half・middle,BGN,,,
数,SUU・SU,kazu・kazo,number・strength,BGN,,,
円,EN,maru,yen・circle・round,BGN,,,
分,BUN・FUN・BU,wa,part・understand・minute,BGN,,,
時,JI,toki,time・hour,BGN,,,
週,SHUU,,week,BGN,,,
年,NEN,toshi,year,BGN,,,
今,KON・KIN,ima,now・present,BGN,,,
初,SHO,haji・hatsu・so,first time,BGN,,,
始,SHI,haji,start・begin,BGN,,,
終,SHUU,o,end,BGN,,,
何,KA,nani,what,BGN,,,
回,KAI・E,mawa,times・around・turn,BGN,,,
台,DAI・TAI,,stand・pedestal,BGN,,,
度,DO・TO・TAKU,tabi,degrees・occurrence,BGN,,,
代,DAI・TAI,ka・yo・shiro,substitute・period,BGN,,,
点,TEN,,point・mark・spot,BGN,,,
番,BAN,,turn・number series,BGN,,,
倍,BAI,,fold・times・twice,BGN,,,
上,JOU・SHOU,a・ue・nobo,above・up・top,BGN,,,
下,KA・GE,shita・sa・kuda・shimo,below・down・descend,BGN,,,
右,U・YUU,migi,right,BGN,,,
左,SA,hidari,left,BGN,,,
前,ZEN,mae,before・in front,BGN,,,
後,GO・KOU,ato・ushi・nochi,behind・back・later,BGN,,,
午,GO,,noon,BGN,,,
以,I,,by means of・compared with,BGN,,,
所,SHO,tokoro,place・aspect,BGN,,,
中,CHUU・JUU,naka,in・inside・middle,BGN,,,
間,KAN・KEN,aida・ma,space・interval,BGN,,,
横,OU,yoko,sideways・width・horizontal,BGN,,,
東,TOU,higashi,east,BGN,,,
西,SEI・SAI,nishi,west,BGN,,,
南,NAN・NA,minami,south,BGN,,,
北,HOKU,kita,north,BGN,,,
山,SAN,yama,mountain,BGN,,,
川,SEN,kawa,river,BGN,,,
池,CHI,ike,pond,BGN,,,
海,KAI,umi,sea,BGN,,,
田,DEN,ta,rice field,BGN,,,
野,YA,no,plains・field,BGN,,,
林,RIN,hayashi,grove・forest,INT,,,
森,SHIN,mori,forest・woods,INT,,,
地,CHI・JI,,ground・earth,BGN,,,
島,TOU,shima,island,INT,,,
洋,YOU,,western・ocean・sea,BGN,,,
世,SEI・SE,yo,generation・world・society,BGN,,,
界,KAI,,world・boundary,BGN,,,
図,ZU・TO,e・haka,map・drawing・plan,BGN,,,
形,KEI・GYOU,kata・Karachi,shape・form・style,INT,,,
表,HYOU,omote・arawa,surface・table・chart・diagram,INT,,,
大,DAI・TAI,oo,big・large,BGN,,,
小,SHOU,chii・ko・o,small・little,BGN,,,
多,TA,oo,many・frequent,BGN,,,
少,SHOU,suku・suko,few・little,BGN,,,
高,KOU,taka,tall・high・expensive,BGN,,,
安,AN,yasu,cheap・relax・peaceful,BGN,,,
低,TEI,hiku,lower・short・humble,INT,,,
広,KOU,hiro,wide・broad・spacious・spread,BGN,,,
太,TAI・TA,futo,fat・big・thick,INT,,,
早,SOU,haya,early・fast・hasten,BGN,,,
近,KIN,chika,near・close・akin,BGN,,,
遠,EN・ON,too,far・distant,INT,,,
新,SHIN,atara・ara,new,BGN,,,
古,KO,furu,old,BGN,,,
良,RYOU,yo・i,good・pleasing・skilled,INT,,,
悪,AKU・O,waru・a,bad・wrong,BGN,,,
私,SHI,watashi・watakushi,i・me・private,BGN,,,
父,FU,chichi,father,BGN,,,
母,BO,haha,mother,BGN,,,
子,SHI・SU,ko,kid,BGN,,,
兄,KEI・KYOU,ani,older brother,BGN,,,
弟,TEI・DAI・DE,otouto,younger brother,BGN,,,
姉,SHI,ane,older sister,BGN,,,
妹,MAI,imouto,younger sister,BGN,,,
親,SHIN,oya・shita,parent・intimacy・relative,BGN,,,
族,ZOKU,,family,BGN,,,
男,DAN・NAN,otoko,man・male,BGN,,,
女,JO・NYO・NYOU,onna・me,woman・female,BGN,,,
夫,FU・FUU,otto,husband・man,INT,,,
妻,SAI,tsuma,wife・spouse,INT,,,
主,SHU・SU,nushi・omo,lord・chief・master・main thing,BGN,,,
奥,OO,oku,heart・interior・inner part,INT,,,
人,JIN・NIN,hito,person,BGN,,,
者,SHA,mono,person・someone,BGN,,,
友,YUU,tomo,friend,BGN,,,
民,MIN,tami,people・citizen・subjects,INT,,,
員,IN,,employee・member・in charge,BGN,,,
達,TATSU,tachi,reach・attain・arrive,INT,,,
朝,CHOU,asa,morning,BGN,,,
昼,CHUU,hiru,noon・daytime,BGN,,,
夕,SEKI,yuu,evening,BGN,,,
夜,YA,yo・yoru,night・evening,BGN,,,
晩,BAN,,night・nightfall,INT,,,
毎,MAI,,every,BGN,,,
先,SEN,saki・ma,before・ahead・previous,BGN,,,
次,JI・SHI,tsu・tsugi,next・order・sequence・follow,INT,,,
予,YO,,beforehand・previous,INT,,,
