Kanji,Notes,Meaning,S1,S2,S3,Type
米,kome,rice,米,米価,玄米,rice
粉,rice・part,flour・powder,粉,花粉,小麦粉,rice
粋,rice・nine・ten,chic・style・elite・pure,粋,純粋,抜粋,rice
粗,rice・flat-eye,course・rough,粗末,粗い,粗品,rice
粘,rice・fortune-occupy,sticky・glutinous,粘土,粘り,粘る,rice
粒,rice・stand,grains・drop・particle,粒,粒子,大粒,rice
粧,rice・stone-cliff・soil,cosmetics,化粧,化粧水,化粧品,rice
精,rice・blue,refined・vitality,精神,精巧,精製,rice
糖,rice・cross-reverse-trident・mouth,sugar,砂糖,糖分,血糖値,rice
糧,rice・quantity-measure-weight,provisions・food,食糧,糧食,食糧庁,rice
